DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
RICE WITH BEANS	Rice_with_beans	Rice with beans	0	58160110.0
WHITE BEANS, DRY, COOKED, FAT NOT ADDED IN COOKING	White_beans_dry_cooked_fat_not_added_in_cooking	White beans, dry, cooked, fat not added in cooking	0	41101120.0
RICE WITH BEANS	Rice_with_beans	Rice with beans	0	58160110.0
BAKED BEANS, VEGETARIAN	Baked_beans_vegetarian	Baked beans, vegetarian	0	41201020.0
RICE WITH BEANS	Rice_with_beans	Rice with beans	0	58160110.0
REFRIED BEANS, FAT ADDED IN COOKING, NS AS TO TYPE OF FAT	Refried_beans_fat_added_in_cooking_NS_as_to_type_of_fat	Refried beans, fat added in cooking, NS as to type of fat	0	41205010.0
HUMMUS, FLAVORED	Hummus_flavored	Hummus, flavored	0	41205075.0
HUMMUS, PLAIN	Hummus_plain	Hummus, plain	0	41205070.0
PINTO, CALICO, OR RED MEXICAN BEANS, DRY, COOKED, FAT NOT AD	Pinto_calico_or_red_Mexican_beans_dry_cooked_fat_not_added_in_cooking	Pinto, calico, or red Mexican beans, dry, cooked, fat not added in cooking	0	41104020.0
BAKED BEANS, NFS	Baked_beans_NFS	Baked beans, NFS	0	41201010.0
HUMMUS, PLAIN	Hummus_plain	Hummus, plain	0	41205070.0
PINTO, CALICO, OR RED MEXICAN BEANS, DRY, COOKED, FAT NOT AD	Pinto_calico_or_red_Mexican_beans_dry_cooked_fat_not_added_in_cooking	Pinto, calico, or red Mexican beans, dry, cooked, fat not added in cooking	0	41104020.0
BLACK, BROWN, OR BAYO BEANS, DRY, COOKED, FAT NOT ADDED IN C	Black_brown_or_Bayo_beans_dry_cooked_fat_not_added_in_cooking	Black, brown, or Bayo beans, dry, cooked, fat not added in cooking	0	41102020.0
PINTO, CALICO, OR RED MEXICAN BEANS, DRY, COOKED, FAT NOT AD	Pinto_calico_or_red_Mexican_beans_dry_cooked_fat_not_added_in_cooking	Pinto, calico, or red Mexican beans, dry, cooked, fat not added in cooking	0	41104020.0
RICE WITH BEANS	Rice_with_beans	Rice with beans	0	58160110.0
HUMMUS, PLAIN	Hummus_plain	Hummus, plain	0	41205070.0
REFRIED BEANS, FROM RESTAURANT	Refried_beans_from_restaurant	Refried beans, from restaurant	0	41205017.0
BEANS AND TOMATOES, FAT ADDED IN COOKING	Beans_and_tomatoes_fat_added_in_cooking	Beans and tomatoes, fat added in cooking	0	41202510.0
PINTO, CALICO, OR RED MEXICAN BEANS, DRY, COOKED, FAT NOT AD	Pinto_calico_or_red_Mexican_beans_dry_cooked_fat_not_added_in_cooking	Pinto, calico, or red Mexican beans, dry, cooked, fat not added in cooking	0	41104020.0
BEANS, DRY, COOKED, NS AS TO TYPE, FAT NOT ADDED IN COOKING	Beans_dry_cooked_NS_as_to_type_fat_not_added_in_cooking	Beans, dry, cooked, NS as to type, fat not added in cooking	0	41101020.0
BEANS, DRY, COOKED, NS AS TO TYPE, FAT NOT ADDED IN COOKING	Beans_dry_cooked_NS_as_to_type_fat_not_added_in_cooking	Beans, dry, cooked, NS as to type, fat not added in cooking	0	41101020.0
PORK AND BEANS	Pork_and_beans	Pork and beans	0	41208030.0
SOFT TACO WITH BEANS	Soft_taco_with_beans	Soft taco with beans	0	58101610.0
