FoodCodes	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
32130200	EGG OMELET OR SCRAMBLED EGG, WITH MEAT, MADE WITH MARGARINE	Egg_omelet_or_scrambled_egg_with_meat_made_with_margarine	Egg omelet or scrambled egg, with meat, made with margarine	0	32130200.0
32130210	EGG OMELET OR SCRAMBLED EGG, WITH MEAT, MADE WITH OIL	Egg_omelet_or_scrambled_egg_with_meat_made_with_oil	Egg omelet or scrambled egg, with meat, made with oil	0	32130210.0
32130220	EGG OMELET OR SCRAMBLED EGG, WITH MEAT, MADE WITH BUTTER	Egg_omelet_or_scrambled_egg_with_meat_made_with_butter	Egg omelet or scrambled egg, with meat, made with butter	0	32130220.0
32130240	EGG OMELET OR SCRAMBLED EGG, WITH MEAT, MADE WITH ANIMAL FAT	Egg_omelet_or_scrambled_egg_with_meat_made_with_animal_fat_or_meat_drippings	Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings	0	32130240.0
32130260	EGG OMELET OR SCRAMBLED EGG, WITH MEAT, MADE W/COOKING SPRAY	Egg_omelet_or_scrambled_egg_with_meat_made_with_cooking_spray	Egg omelet or scrambled egg, with meat, made with cooking spray	0	32130260.0
32130270	EGG OMELET OR SCRAMBLED EGG, WITH MEAT, MADE WITHOUT FAT	Egg_omelet_or_scrambled_egg_with_meat_made_without_fat	Egg omelet or scrambled egg, with meat, made without fat	0	32130270.0
32130300	EGG OMELET OR SCRAMBLED EGG, W/CHEESE  MEAT, MADE W/MARGARI	Egg_omelet_or_scrambled_egg_with_cheese_and_meat_made_with_margarine	Egg omelet or scrambled egg, with cheese and meat, made with margarine	0	32130300.0
32130310	EGG OMELET OR SCRAMBLED EGG, W/CHEESE  MEAT, MADE W/OIL	Egg_omelet_or_scrambled_egg_with_cheese_and_meat_made_with_oil	Egg omelet or scrambled egg, with cheese and meat, made with oil	0	32130310.0
32130320	EGG OMELET OR SCRAMBLED EGG, W/ CHEESE MEAT, MADEW/BUTTER	Egg_omelet_or_scrambled_egg_with_cheese_and_meat_made_with_butter	Egg omelet or scrambled egg, with cheese and meat, made with butter	0	32130320.0
32130360	EGG OMELET OR SCR EGG, W/CHEESE MEAT, MADE W/COOKING SPRAY	Egg_omelet_or_scrambled_egg_with_cheese_and_meat_made_with_cooking_spray	Egg omelet or scrambled egg, with cheese and meat, made with cooking spray	0	32130360.0
32130370	EGG OMELET OR SCRAMBLED EGG, W/CHEESE  MEAT, MADE WO/FAT	Egg_omelet_or_scrambled_egg_with_cheese_and_meat_made_without_fat	Egg omelet or scrambled egg, with cheese and meat, made without fat	0	32130370.0
32130400	EGG OMELET OR SCRAMBLED EGG, WITH TOMATOES, FAT ADDED IN COO	Egg_omelet_or_scrambled_egg_with_tomatoes_fat_added_in_cooking	Egg omelet or scrambled egg, with tomatoes, fat added in cooking	0	32130400.0
