FoodCode	DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
75204982	BEANS, STRING, COOKED, FROM FROZEN, NS AS TO COLOR, FAT ADDE	Beans_string_cooked_from_frozen_NS_as_to_color_fat_added_in_cooking_NS_as_to_type_of_fat	Beans, string, cooked, from frozen, NS as to color, fat added in cooking, NS as to type of fat	0	75204982.0
75204990	BEANS, STRING, COOKED, NS AS TO FORM, NS AS TO COLOR, FAT NO	Beans_string_cooked_NS_as_to_form_NS_as_to_color_fat_not_added_in_cooking	Beans, string, cooked, NS as to form, NS as to color, fat not added in cooking	0	75204990.0
75204991	BEANS, STRING, COOKED, FROM FRESH, NS AS TO COLOR, FAT NOT A	Beans_string_cooked_from_fresh_NS_as_to_color_fat_not_added_in_cooking	Beans, string, cooked, from fresh, NS as to color, fat not added in cooking	0	75204991.0
75204992	BEANS, STRING, COOKED, FROM FROZEN, NS AS TO COLOR, FAT NOT	Beans_string_cooked_from_frozen_NS_as_to_color_fat_not_added_in_cooking	Beans, string, cooked, from frozen, NS as to color, fat not added in cooking	0	75204992.0
75204993	BEANS, STRING, COOKED, FROM CANNED, NS AS TO COLOR, FAT NOT	Beans_string_cooked_from_canned_NS_as_to_color_fat_not_added_in_cooking	Beans, string, cooked, from canned, NS as to color, fat not added in cooking	0	75204993.0
75205000	BEANS, STRING, COOKED, NS AS TO FORM, NS AS TO COLOR, NS AS	Beans_string_cooked_NS_as_to_form_NS_as_to_color_NS_as_to_fat_added_in_cooking	Beans, string, cooked, NS as to form, NS as to color, NS as to fat added in cooking	0	75205000.0
75205001	BEANS, STRING, COOKED, FROM FRESH, NS AS TO COLOR, NS AS TO	Beans_string_cooked_from_fresh_NS_as_to_color_NS_as_to_fat_added_in_cooking	Beans, string, cooked, from fresh, NS as to color, NS as to fat added in cooking	0	75205001.0
75205003	BEANS, STRING, COOKED, FROM CANNED, NS AS TO COLOR, NS AS TO	Beans_string_cooked_from_canned_NS_as_to_color_NS_as_to_fat_added_in_cooking	Beans, string, cooked, from canned, NS as to color, NS as to fat added in cooking	0	75205003.0
75205010	BEANS, STRING, GREEN, COOKED, NS AS TO FORM, NS AS TO FAT AD	Beans_string_green_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	Beans, string, green, cooked, NS as to form, NS as to fat added in cooking	0	75205010.0
75205011	BEANS, STRING, GREEN, COOKED, FROM FRESH, NS AS TO FAT ADDED	Beans_string_green_cooked_from_fresh_NS_as_to_fat_added_in_cooking	Beans, string, green, cooked, from fresh, NS as to fat added in cooking	0	75205011.0
75205012	BEANS, STRING, GREEN, COOKED, FROM FROZEN, NS AS TO FAT ADDE	Beans_string_green_cooked_from_frozen_NS_as_to_fat_added_in_cooking	Beans, string, green, cooked, from frozen, NS as to fat added in cooking	0	75205012.0
75205013	BEANS, STRING, GREEN, COOKED, FROM CANNED, NS AS TO FAT ADDE	Beans_string_green_cooked_from_canned_NS_as_to_fat_added_in_cooking	Beans, string, green, cooked, from canned, NS as to fat added in cooking	0	75205013.0
75205020	BEANS, STRING, GREEN, COOKED, NS AS TO FORM, FAT NOT ADDED I	Beans_string_green_cooked_NS_as_to_form_fat_not_added_in_cooking	Beans, string, green, cooked, NS as to form, fat not added in cooking	0	75205020.0
75205021	BEANS, STRING, GREEN, COOKED, FROM FRESH, FAT NOT ADDED IN C	Beans_string_green_cooked_from_fresh_fat_not_added_in_cooking	Beans, string, green, cooked, from fresh, fat not added in cooking	0	75205021.0
75205022	BEANS, STRING, GREEN, COOKED, FROM FROZEN, FAT NOT ADDED IN	Beans_string_green_cooked_from_frozen_fat_not_added_in_cooking	Beans, string, green, cooked, from frozen, fat not added in cooking	0	75205022.0
75205023	BEANS, STRING, GREEN, COOKED, FROM CANNED, FAT NOT ADDED IN	Beans_string_green_cooked_from_canned_fat_not_added_in_cooking	Beans, string, green, cooked, from canned, fat not added in cooking	0	75205023.0
75205030	BEANS, STRING, GREEN, COOKED, NS AS TO FORM, FAT ADDED IN CO	Beans_string_green_cooked_NS_as_to_form_fat_added_in_cooking_NS_as_to_type_of_fat	Beans, string, green, cooked, NS as to form, fat added in cooking, NS as to type of fat	0	75205030.0
75205041	BEANS, STRING, GREEN, COOKED, NS AS TO FORM, MADE WITH OIL	Beans_string_green_cooked_NS_as_to_form_made_with_oil	Beans, string, green, cooked, NS as to form, made with oil	0	75205041.0
75205042	BEANS, STRING, GREEN, COOKED, NS AS TO FORM, MADE WITH BUTTE	Beans_string_green_cooked_NS_as_to_form_made_with_butter	Beans, string, green, cooked, NS as to form, made with butter	0	75205042.0
75205044	BEANS, STRING, GREEN, COOKED, FROM FRESH, MADE WITH OIL	Beans_string_green_cooked_from_fresh_made_with_oil	Beans, string, green, cooked, from fresh, made with oil	0	75205044.0
75205045	BEANS, STRING, GREEN, COOKED, FROM FRESH, MADE WITH BUTTER	Beans_string_green_cooked_from_fresh_made_with_butter	Beans, string, green, cooked, from fresh, made with butter	0	75205045.0
75205046	BEANS, STRING, GREEN, COOKED, FROM FRESH, MADE WITH MARGARIN	Beans_string_green_cooked_from_fresh_made_with_margarine	Beans, string, green, cooked, from fresh, made with margarine	0	75205046.0
75205047	BEANS, STRING, GREEN, COOKED, FROM FROZEN, MADE WITH OIL	Beans_string_green_cooked_from_frozen_made_with_oil	Beans, string, green, cooked, from frozen, made with oil	0	75205047.0
75205048	BEANS, STRING, GREEN, COOKED, FROM FROZEN, MADE WITH BUTTER	Beans_string_green_cooked_from_frozen_made_with_butter	Beans, string, green, cooked, from frozen, made with butter	0	75205048.0
75205049	BEANS, STRING, GREEN, COOKED, FROM FROZEN, MADE WITH MARGARI	Beans_string_green_cooked_from_frozen_made_with_margarine	Beans, string, green, cooked, from frozen, made with margarine	0	75205049.0
75205050	BEANS, STRING, GREEN, COOKED, FROM CANNED, MADE WITH OIL	Beans_string_green_cooked_from_canned_made_with_oil	Beans, string, green, cooked, from canned, made with oil	0	75205050.0
75205051	BEANS, STRING, GREEN, COOKED, FROM CANNED, MADE WITH BUTTER	Beans_string_green_cooked_from_canned_made_with_butter	Beans, string, green, cooked, from canned, made with butter	0	75205051.0
75205052	BEANS, STRING, GREEN, COOKED, FROM CANNED, MADE WITH MARGARI	Beans_string_green_cooked_from_canned_made_with_margarine	Beans, string, green, cooked, from canned, made with margarine	0	75205052.0
75205120	BEANS, STRING, GREEN, CANNED, LOW SODIUM, FAT NOT ADDED IN C	Beans_string_green_canned_low_sodium_fat_not_added_in_cooking	Beans, string, green, canned, low sodium, fat not added in cooking	0	75205120.0
75205131	BEANS, STRING, GREEN, CANNED, LOW SODIUM, MADE WITH OIL	Beans_string_green_canned_low_sodium_made_with_oil	Beans, string, green, canned, low sodium, made with oil	0	75205131.0
75205132	BEANS, STRING, GREEN, CANNED, LOW SODIUM, MADE WITH BUTTER	Beans_string_green_canned_low_sodium_made_with_butter	Beans, string, green, canned, low sodium, made with butter	0	75205132.0
75205133	BEANS, STRING, GREEN, CANNED, LOW SODIUM, MADE WITH MARGARIN	Beans_string_green_canned_low_sodium_made_with_margarine	Beans, string, green, canned, low sodium, made with margarine	0	75205133.0
75206010	BEANS, STRING, YELLOW, COOKED, NS AS TO FORM, FAT NOT ADDED	Beans_string_yellow_cooked_NS_as_to_form_fat_not_added_in_cooking	Beans, string, yellow, cooked, NS as to form, fat not added in cooking	0	75206010.0
75206011	BEANS, STRING, YELLOW, COOKED, FROM FRESH, FAT NOT ADDED IN	Beans_string_yellow_cooked_from_fresh_fat_not_added_in_cooking	Beans, string, yellow, cooked, from fresh, fat not added in cooking	0	75206011.0
75206030	BEANS, STRING, YELLOW, COOKED, NS AS TO FORM, MADE WITH OIL	Beans_string_yellow_cooked_NS_as_to_form_made_with_oil	Beans, string, yellow, cooked, NS as to form, made with oil	0	75206030.0
75207011	BEAN SPROUTS, COOKED, FROM FRESH, FAT NOT ADDED IN COOKING	Bean_sprouts_cooked_from_fresh_fat_not_added_in_cooking	Bean sprouts, cooked, from fresh, fat not added in cooking	0	75207011.0
75207021	BEAN SPROUTS, COOKED, FROM FRESH, FAT ADDED IN COOKING	Bean_sprouts_cooked_from_fresh_fat_added_in_cooking	Bean sprouts, cooked, from fresh, fat added in cooking	0	75207021.0
75208000	BEETS, COOKED, NS AS TO FORM, NS AS TO FAT ADDED IN COOKING	Beets_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	Beets, cooked, NS as to form, NS as to fat added in cooking	0	75208000.0
75208010	BEETS, COOKED, NS AS TO FORM, FAT NOT ADDED IN COOKING	Beets_cooked_NS_as_to_form_fat_not_added_in_cooking	Beets, cooked, NS as to form, fat not added in cooking	0	75208010.0
75208011	BEETS, COOKED, FROM FRESH, FAT NOT ADDED IN COOKING	Beets_cooked_from_fresh_fat_not_added_in_cooking	Beets, cooked, from fresh, fat not added in cooking	0	75208011.0
75208013	BEETS, COOKED, FROM CANNED, FAT NOT ADDED IN COOKING	Beets_cooked_from_canned_fat_not_added_in_cooking	Beets, cooked, from canned, fat not added in cooking	0	75208013.0
75208300	BITTER MELON, COOKED, FAT NOT ADDED IN COOKING	Bitter_melon_cooked_fat_not_added_in_cooking	Bitter melon, cooked, fat not added in cooking	0	75208300.0
75208310	BITTER MELON, COOKED, FAT ADDED IN COOKING	Bitter_melon_cooked_fat_added_in_cooking	Bitter melon, cooked, fat added in cooking	0	75208310.0
75209000	BRUSSELS SPROUTS, COOKED, NS AS TO FORM, NS AS TO FAT ADDED	Brussels_sprouts_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	Brussels sprouts, cooked, NS as to form, NS as to fat added in cooking	0	75209000.0
75209002	BRUSSELS SPROUTS, COOKED, FROM FROZEN, NS AS TO FAT ADDED IN	Brussels_sprouts_cooked_from_frozen_NS_as_to_fat_added_in_cooking	Brussels sprouts, cooked, from frozen, NS as to fat added in cooking	0	75209002.0
75209011	BRUSSELS SPROUTS, COOKED, FROM FRESH, FAT NOT ADDED IN COOKI	Brussels_sprouts_cooked_from_fresh_fat_not_added_in_cooking	Brussels sprouts, cooked, from fresh, fat not added in cooking	0	75209011.0
75209012	BRUSSELS SPROUTS, COOKED, FROM FROZEN, FAT NOT ADDED IN COOK	Brussels_sprouts_cooked_from_frozen_fat_not_added_in_cooking	Brussels sprouts, cooked, from frozen, fat not added in cooking	0	75209012.0
