FoodCode	DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
63141120	PINEAPPLE, COOKED OR CANNED, UNSWEETENED, WATERPACK	Pineapple_cooked_or_canned_unsweetened_waterpack	Pineapple, cooked or canned, unsweetened, waterpack	0	63141120.0
63141130	PINEAPPLE, COOKED OR CANNED, IN HEAVY SYRUP	Pineapple_cooked_or_canned_in_heavy_syrup	Pineapple, cooked or canned, in heavy syrup	0	63141130.0
63143010	PLUM, RAW	Plum_raw	Plum, raw	0	63143010.0
63145010	POMEGRANATE, RAW	Pomegranate_raw	Pomegranate, raw	0	63145010.0
63149010	WATERMELON, RAW	Watermelon_raw	Watermelon, raw	0	63149010.0
63201010	BLACKBERRIES, RAW	Blackberries_raw	Blackberries, raw	0	63201010.0
63203010	BLUEBERRIES, RAW	Blueberries_raw	Blueberries, raw	0	63203010.0
63203600	BLUEBERRIES, FROZEN, UNSWEETENED	Blueberries_frozen_unsweetened	Blueberries, frozen, unsweetened	0	63203600.0
63223020	STRAWBERRIES, RAW	Strawberries_raw	Strawberries, raw	0	63223020.0
63311140	FRUIT COCKTAIL, COOKED OR CANNED, IN LIGHT SYRUP	Fruit_cocktail_cooked_or_canned_in_light_syrup	Fruit cocktail, cooked or canned, in light syrup	0	63311140.0
63403100	FRUIT DESSERT WITH CREAM AND/OR PUDDING AND NUTS	Fruit_dessert_with_cream_and_or_pudding_and_nuts	Fruit dessert with cream and/or pudding and nuts	0	63403100.0
63409010	GUACAMOLE, NFS	Guacamole_NFS	Guacamole, NFS	0	63409010.0
63420110	FRUIT JUICE BAR, FROZEN, FLAVOR OTHER THAN ORANGE	Fruit_juice_bar_frozen_flavor_other_than_orange	Fruit juice bar, frozen, flavor other than orange	0	63420110.0
64100110	FRUIT JUICE BLEND, 100% JUICE	Fruit_juice_blend_100_juice	Fruit juice blend, 100% juice	0	64100110.0
64100200	CRANBERRY JUICE BLEND, 100% JUICE	Cranberry_juice_blend_100_juice	Cranberry juice blend, 100% juice	0	64100200.0
64100220	CRANBERRY JUICE BLEND, 100% JUICE, WITH CALCIUM ADDED	Cranberry_juice_blend_100_juice_with_calcium_added	Cranberry juice blend, 100% juice, with calcium added	0	64100220.0
64104010	APPLE JUICE, 100%	Apple_juice_100_	Apple juice, 100%	0	64104010.0
64104030	APPLE JUICE, 100%, WITH CALCIUM ADDED	Apple_juice_100_with_calcium_added	Apple juice, 100%, with calcium added	0	64104030.0
64116020	GRAPE JUICE, 100%	Grape_juice_100_	Grape juice, 100%	0	64116020.0
64124020	PINEAPPLE JUICE, 100%	Pineapple_juice_100_	Pineapple juice, 100%	0	64124020.0
64126000	POMEGRANATE JUICE, 100%	Pomegranate_juice_100_	Pomegranate juice, 100%	0	64126000.0
64134015	FRUIT SMOOTHIE, WITH WHOLE FRUIT, NO DAIRY	Fruit_smoothie_with_whole_fruit_no_dairy	Fruit smoothie, with whole fruit, no dairy	0	64134015.0
64134200	FRUIT SMOOTHIE, BOTTLED	Fruit_smoothie_bottled	Fruit smoothie, bottled	0	64134200.0
64203020	GUAVA NECTAR	Guava_nectar	Guava nectar	0	64203020.0
64204010	MANGO NECTAR	Mango_nectar	Mango nectar	0	64204010.0
64401000	VINEGAR	Vinegar	Vinegar	0	64401000.0
71000100	POTATO, NFS	Potato_NFS	Potato, NFS	0	71000100.0
71102980	POTATO, BOILED, NFS	Potato_boiled_NFS	Potato, boiled, NFS	0	71102980.0
71103010	POTATO, BOILED, FROM FRESH, PEEL NOT EATEN, FAT NOT ADDED IN	Potato_boiled_from_fresh_peel_not_eaten_fat_not_added_in_cooking	Potato, boiled, from fresh, peel not eaten, fat not added in cooking	0	71103010.0
71103030	POTATO, BOILED, FROM FRESH, PEEL NOT EATEN, MADE WITH OIL	Potato_boiled_from_fresh_peel_not_eaten_made_with_oil	Potato, boiled, from fresh, peel not eaten, made with oil	0	71103030.0
71103125	POTATO, BOILED, FROM FRESH,  PEEL EATEN, FAT NOT ADDED IN CO	Potato_boiled_from_fresh_peel_eaten_fat_not_added_in_cooking	Potato, boiled, from fresh,  peel eaten, fat not added in cooking	0	71103125.0
71200100	POTATO CHIPS, PLAIN	Potato_chips_plain	Potato chips, plain	0	71200100.0
71200110	POTATO CHIPS, BARBECUE FLAVORED	Potato_chips_barbecue_flavored	Potato chips, barbecue flavored	0	71200110.0
71200120	POTATO CHIPS, SOUR CREAM AND ONION FLAVORED	Potato_chips_sour_cream_and_onion_flavored	Potato chips, sour cream and onion flavored	0	71200120.0
71200130	POTATO CHIPS, CHEESE FLAVORED	Potato_chips_cheese_flavored	Potato chips, cheese flavored	0	71200130.0
71200140	POTATO CHIPS, OTHER FLAVORED	Potato_chips_other_flavored	Potato chips, other flavored	0	71200140.0
71200200	POTATO CHIPS, RUFFLED, PLAIN	Potato_chips_ruffled_plain	Potato chips, ruffled, plain	0	71200200.0
71200220	POTATO CHIPS, RUFFLED, SOUR CREAM AND ONION FLAVORED	Potato_chips_ruffled_sour_cream_and_onion_flavored	Potato chips, ruffled, sour cream and onion flavored	0	71200220.0
71200300	POTATO CHIPS, RESTRUCTURED, PLAIN	Potato_chips_restructured_plain	Potato chips, restructured, plain	0	71200300.0
71200410	POTATO CHIPS, BAKED, FLAVORED	Potato_chips_baked_flavored	Potato chips, baked, flavored	0	71200410.0
71201050	POTATO CHIPS, REDUCED FAT	Potato_chips_reduced_fat	Potato chips, reduced fat	0	71201050.0
71202500	POTATO CHIPS, LIGHTLY SALTED	Potato_chips_lightly_salted	Potato chips, lightly salted	0	71202500.0
71220000	VEGETABLE CHIPS	Vegetable_chips	Vegetable chips	0	71220000.0
71401000	POTATO, FRENCH FRIES, NS AS TO FRESH OR FROZEN	Potato_french_fries_NS_as_to_fresh_or_frozen	Potato, french fries, NS as to fresh or frozen	0	71401000.0
71401010	POTATO, FRENCH FRIES, FROM FRESH, FRIED	Potato_french_fries_from_fresh_fried	Potato, french fries, from fresh, fried	0	71401010.0
71401020	POTATO, FRENCH FRIES, FROM FROZEN, BAKED	Potato_french_fries_from_frozen_baked	Potato, french fries, from frozen, baked	0	71401020.0
71401030	POTATO, FRENCH FRIES, FAST FOOD	Potato_french_fries_fast_food	Potato, french fries, fast food	0	71401030.0
71401031	POTATO, FRENCH FRIES, RESTAURANT	Potato_french_fries_restaurant	Potato, french fries, restaurant	0	71401031.0
71401032	POTATO, FRENCH FRIES, FROM FROZEN, FRIED	Potato_french_fries_from_frozen_fried	Potato, french fries, from frozen, fried	0	71401032.0
71403020	POTATO, HOME FRIES, NFS	Potato_home_fries_NFS	Potato, home fries, NFS	0	71403020.0
71403030	POTATO, HOME FRIES, FROM RESTAURANT / FAST FOOD	Potato_home_fries_from_restaurant_fast_food	Potato, home fries, from restaurant / fast food	0	71403030.0
71403040	POTATO, HOME FRIES, FROM FRESH	Potato_home_fries_from_fresh	Potato, home fries, from fresh	0	71403040.0
71403050	POTATO, HOME FRIES, READY-TO-HEAT	Potato_home_fries_ready_to_heat	Potato, home fries, ready-to-heat	0	71403050.0
71404010	POTATO, HASH BROWN, FROM FAST FOOD	Potato_hash_brown_from_fast_food	Potato, hash brown, from fast food	0	71404010.0
71404030	POTATO, HASH BROWN, FROM RESTAURANT	Potato_hash_brown_from_restaurant	Potato, hash brown, from restaurant	0	71404030.0
71404040	POTATO, HASH BROWN, FROM RESTAURANT, WITH CHEESE	Potato_hash_brown_from_restaurant_with_cheese	Potato, hash brown, from restaurant, with cheese	0	71404040.0
71405019	POTATO, HASH BROWN, FROM FRESH, WITH CHEESE	Potato_hash_brown_from_fresh_with_cheese	Potato, hash brown, from fresh, with cheese	0	71405019.0
71405040	POTATO, HASH BROWN, READY-TO-HEAT	Potato_hash_brown_ready_to_heat	Potato, hash brown, ready-to-heat	0	71405040.0
71410000	POTATO SKINS WITHOUT TOPPING	Potato_skins_without_topping	Potato skins without topping	0	71410000.0
71501006	POTATO, MASHED, FROM FAST FOOD, WITH GRAVY	Potato_mashed_from_fast_food_with_gravy	Potato, mashed, from fast food, with gravy	0	71501006.0
71501010	POTATO, MASHED, FROM FRESH, MADE WITH MILK	Potato_mashed_from_fresh_made_with_milk	Potato, mashed, from fresh, made with milk	0	71501010.0
71501012	POTATO, MASHED, FROM FRESH, MADE WITH MILK, WITH GRAVY	Potato_mashed_from_fresh_made_with_milk_with_gravy	Potato, mashed, from fresh, made with milk, with gravy	0	71501012.0
71501017	POTATO, MASHED, FROM RESTAURANT, WITH GRAVY	Potato_mashed_from_restaurant_with_gravy	Potato, mashed, from restaurant, with gravy	0	71501017.0
