GLU_index,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,Total
Normal,4,5,1,4,2,5,2,3,1,2,5,0,0,1,1,3,3,3,0,2,47
Prediabetic,7,12,9,1,7,5,11,6,5,10,9,4,8,4,7,6,6,3,4,3,127
Diabetic,6,5,4,7,4,7,1,2,2,1,1,7,3,4,4,2,0,1,2,0,63
Total,17,22,14,12,13,17,14,11,8,13,15,11,11,9,12,11,9,7,6,5,237
