Group	macronutrient	n	mean	sd
F_18_19	Carbohydrate	38	48.8799863724932	6.92904046917117
F_20s	Carbohydrate	128	47.8045596770982	7.47752159036145
F_30s	Carbohydrate	123	49.8611511140819	7.58757068665441
F_40s	Carbohydrate	151	49.0929499248388	7.676770969635
F_50s	Carbohydrate	140	48.6905498541569	7.70013527936933
F_60s	Carbohydrate	140	49.3256343027418	8.4666266014276
F_70s	Carbohydrate	77	47.3904288404143	8.96054499548655
F_80plus	Carbohydrate	54	50.1936158171346	6.26504718852234
M_18_19	Carbohydrate	46	49.1993824735976	6.56190500550508
M_20s	Carbohydrate	91	48.7521984633915	7.94423860824339
M_30s	Carbohydrate	120	47.804679028718	8.24631378099231
M_40s	Carbohydrate	109	48.3561842693776	8.33761480721534
M_50s	Carbohydrate	128	48.8863086159365	7.51677178464689
M_60s	Carbohydrate	141	47.4169894160798	8.86128760470169
M_70s	Carbohydrate	96	47.4159767408575	7.79960233175671
M_80plus	Carbohydrate	43	47.5400791129241	7.61197891404868
F_18_19	Protein	38	15.1464271975735	3.97922395731323
F_20s	Protein	128	16.2744423938645	4.97205947642495
F_30s	Protein	123	15.5862326706494	4.17660664913313
F_40s	Protein	151	15.8124668611389	3.98335142423881
F_50s	Protein	140	16.1007731723801	3.85907962176359
F_60s	Protein	140	15.4559903642625	3.54964580960779
F_70s	Protein	77	15.9638247435107	4.28694906446477
F_80plus	Protein	54	14.9777072859861	3.9847933939663
M_18_19	Protein	46	15.654929612714	4.91707383348207
M_20s	Protein	91	16.6204420643458	4.72925592433637
M_30s	Protein	120	16.4414577613782	3.87184100950061
M_40s	Protein	109	17.1777619011338	5.10377072794169
M_50s	Protein	128	16.0887628310414	3.70120128868367
M_60s	Protein	141	16.6658024036181	3.93478529263445
M_70s	Protein	96	16.050392839236	3.02635545596207
M_80plus	Protein	43	15.6778031037979	4.31578762295332
F_18_19	Total Fat	38	35.9735864299333	5.46778612506159
F_20s	Total Fat	128	35.9209979290372	6.3732858238958
F_30s	Total Fat	123	34.5526162152688	7.71242395443092
F_40s	Total Fat	151	35.0945832140223	6.54611546871758
F_50s	Total Fat	140	35.208676973463	6.78694016989419
F_60s	Total Fat	140	35.2183753329956	7.64643057925583
F_70s	Total Fat	77	36.645746416075	8.51566208066214
F_80plus	Total Fat	54	34.8286768968793	5.82532848935721
M_18_19	Total Fat	46	35.1456879136884	5.66719215304753
M_20s	Total Fat	91	34.6273594722626	6.30625515560591
M_30s	Total Fat	120	35.7538632099038	6.88080190632706
M_40s	Total Fat	109	34.4660538294886	7.61686792316123
M_50s	Total Fat	128	35.024928553022	6.25525570738798
M_60s	Total Fat	141	35.9172081803021	7.72996079457823
M_70s	Total Fat	96	36.5336304199065	7.32928591467742
M_80plus	Total Fat	43	36.782117783278	6.96001988026369
