"Sample"	"X83908"	"X88327"	"X90330"	"X90480"	"X92895"	"X83954"	"X84089"	"X84111"	"X84299"	"X84694"	"X85253"	"X85635"	"X85804"	"X86715"	"X86737"	"X86740"	"X86887"	"X86928"	"X87231"	"X87494"	"X87663"	"X87693"	"X88188"	"X88859"	"X89397"	"X90938"	"X91353"	"X91468"	"X92157"	"X92459"	"X92797"	"X92959"	"X84218"	"X84842"	"X85257"	"X86185"	"X86343"	"X86809"	"X88417"	"X88584"	"X89099"	"X89201"	"X91027"	"X91217"	"X91743"	"X92121"	"X92967"	"X93036"	"X93310"	"X93469"	"X86624"	"X87415"	"X89271"	"X90299"	"X90455"	"X84832"	"X86098"	"X86208"	"X89648"	"X90680"	"X86052"	"X91391"	"X89130"	"X91970"	"X89582"	"X87003"	"X86231"	"X87897"	"X92437"	"X88660"	"X92312"	"X84751"	"X89550"	"X87428"	"X85815"	"X86182"	"X84503"	"X86886"	"X89181"	"X84831"	"X90436"	"X84119"	"X84940"	"X88864"	"X86820"	"X88885"	"X84717"	"X85577"	"X85811"	"X86932"	"X91495"	"X91564"	"X89751"	"X90110"	"X85801"	"X87587"	"X89003"	"X91704"	"X92156"	"X85049"	"X87903"	"X88731"	"X88640"	"X88877"	"X92850"	"X87490"	"X89841"	"X87573"	"X87762"	"X92076"	"X92472"	"X92789"	"X86777"	"X86980"	"X84376"	"X85836"	"X93454"	"X92356"	"X91859"	"X83733"	"X83898"	"X84019"	"X89524"	"X87248"	"X88634"	"X88233"	"X87496"	"X91341"
"X83908"	0	0.930232558139535	0.928571428571429	0.878787878787879	0.91044776119403	0.954545454545455	0.942528735632184	0.984375	0.927083333333333	0.935897435897436	0.938144329896907	0.945945945945946	0.972602739726027	0.923076923076923	0.925	0.952941176470588	0.961538461538462	0.943820224719101	0.975308641975309	0.970588235294118	0.941860465116279	0.904109589041096	0.962264150943396	0.977011494252874	0.961038961038961	0.967213114754098	0.956521739130435	0.964705882352941	0.936507936507937	0.951612903225806	0.966292134831461	0.91566265060241	0.954545454545455	0.971428571428571	0.932432432432432	0.929577464788732	0.923076923076923	0.96551724137931	0.979591836734694	0.951219512195122	0.930555555555556	0.846153846153846	0.935897435897436	0.932584269662921	0.928571428571429	0.938271604938272	0.955882352941177	0.930555555555556	0.930555555555556	0.928571428571429	0.969072164948454	1	0.9625	0.954545454545455	0.959459459459459	0.988372093023256	0.987179487179487	0.958762886597938	0.929577464788732	0.976190476190476	0.938461538461538	0.935897435897436	0.988888888888889	0.963636363636364	0.936842105263158	0.966292134831461	0.945945945945946	0.947368421052632	0.957142857142857	0.977011494252874	0.939024390243902	0.878787878787879	0.911111111111111	0.925925925925926	0.978021978021978	0.956043956043956	0.971428571428571	0.971428571428571	0.921052631578947	0.946666666666667	0.95	0.975308641975309	0.948717948717949	0.932432432432432	0.923076923076923	0.902777777777778	0.8375	0.926829268292683	0.88	0.935483870967742	0.935897435897436	0.898305084745763	0.949367088607595	0.902777777777778	0.952380952380952	0.935064935064935	0.905405405405405	0.971428571428571	0.940298507462687	0.933333333333333	0.987012987012987	0.974025974025974	0.986842105263158	0.911764705882353	0.955555555555556	0.978260869565217	0.961538461538462	0.974683544303797	1	0.972602739726027	0.930555555555556	0.983606557377049	0.948717948717949	0.967741935483871	0.960526315789474	0.939393939393939	0.936507936507937	0.953125	0.971428571428571	0.950819672131147	0.945945945945946	0.985507246376812	0.926829268292683	1	0.970149253731343	0.984126984126984	0.962962962962963	0.98
"X88327"	0.930232558139535	0	0.911111111111111	0.906666666666667	0.948051948051948	0.957627118644068	0.901098901098901	1	0.878787878787879	0.965909090909091	0.952830188679245	0.938271604938272	0.9625	0.96	0.867469879518072	0.897727272727273	0.927710843373494	0.9375	0.929411764705882	0.945945945945946	0.96875	0.952380952380952	0.983870967741935	0.945652173913043	0.952380952380952	0.971014492753623	0.987341772151899	0.909090909090909	0.928571428571429	0.986111111111111	0.924731182795699	0.957446808510638	0.959459459459459	0.961038961038961	0.925925925925926	0.95	0.931506849315068	0.957446808510638	0.971428571428571	0.943820224719101	0.924050632911392	0.935897435897436	0.929411764705882	0.97	0.968421052631579	0.967032967032967	0.974025974025974	0.950617283950617	0.963414634146341	0.923076923076923	0.92	0.978494623655914	0.97752808988764	0.958333333333333	0.975903614457831	0.956043956043956	0.988372093023256	0.971698113207547	0.95	0.989247311827957	0.959459459459459	0.903614457831325	0.979381443298969	0.920353982300885	0.931372549019608	0.936170212765957	0.925	0.952380952380952	0.934210526315789	0.989583333333333	0.944444444444444	0.962025316455696	0.970873786407767	0.956043956043956	0.925531914893617	0.98019801980198	0.974358974358974	0.947368421052632	0.96551724137931	0.925925925925926	0.954545454545455	0.965909090909091	0.96551724137931	0.925925925925926	0.96	0.939024390243902	0.925531914893617	0.945054945054945	0.966292134831461	0.957746478873239	0.903614457831325	0.942028985507246	0.965909090909091	0.951807228915663	0.973913043478261	0.91566265060241	0.965116279069767	0.904109589041096	0.946666666666667	0.947368421052632	1	0.951807228915663	0.9375	0.906666666666667	0.948453608247423	0.9375	0.94047619047619	0.94047619047619	0.972222222222222	0.98780487804878	0.9375	0.970588235294118	0.953488372093023	0.985915492957746	0.9125	0.931506849315068	0.958333333333333	0.880597014925373	0.857142857142857	0.956521739130435	0.938271604938272	0.945945945945946	0.967741935483871	1	0.973333333333333	0.985915492957746	1	0.964912280701754
"X90330"	0.928571428571429	0.911111111111111	0	0.918918918918919	0.932432432432432	0.974576271186441	0.911111111111111	0.971014492753623	0.898989898989899	0.952941176470588	0.931372549019608	0.923076923076923	0.934210526315789	0.958904109589041	0.917647058823529	0.869047619047619	0.964285714285714	0.901098901098901	0.952941176470588	0.944444444444444	0.934065934065934	0.911392405063291	0.948275862068966	0.920454545454545	0.925	0.970149253731343	0.945945945945946	0.919540229885057	0.942028985507246	0.955882352941177	0.934782608695652	0.933333333333333	0.972602739726027	0.931506849315068	0.924050632911392	0.935064935064935	0.929577464788732	0.933333333333333	0.96078431372549	0.954545454545455	0.922077922077922	0.92	0.844155844155844	0.947916666666667	0.921348314606742	0.917647058823529	0.959459459459459	0.907894736842105	0.975308641975309	0.933333333333333	0.918367346938776	0.978021978021978	0.977011494252874	0.957446808510638	0.935897435897436	0.955056179775281	0.975903614457831	0.971153846153846	0.975	0.977777777777778	0.943661971830986	0.914634146341463	0.968085106382979	0.956521739130435	0.961165048543689	0.957446808510638	0.923076923076923	0.938271604938272	0.974025974025974	0.908045977011494	0.931034482758621	0.918918918918919	0.97029702970297	0.943181818181818	0.9	0.947916666666667	0.96	0.987012987012987	0.964705882352941	0.9375	0.941176470588235	0.965116279069767	0.952380952380952	0.963414634146341	0.972972972972973	0.9375	0.9	0.978260869565217	0.977272727272727	0.971428571428571	0.901234567901235	0.955882352941177	0.988636363636364	0.963414634146341	0.982456140350877	0.939759036144578	0.951807228915663	0.885714285714286	0.959459459459459	0.955752212389381	0.975609756097561	0.975903614457831	0.935897435897436	1	0.947368421052632	0.958333333333333	0.964285714285714	0.89873417721519	0.985915492957746	0.934210526315789	0.949367088607595	0.9375	0.939759036144578	0.985507246376812	0.91025641025641	0.944444444444444	0.971830985915493	0.91044776119403	0.945945945945946	0.970588235294118	0.894736842105263	0.898550724637681	0.967032967032967	0.907692307692308	0.928571428571429	1	1	0.982142857142857
"X90480"	0.878787878787879	0.906666666666667	0.918918918918919	0	0.932203389830508	0.96039603960396	0.948717948717949	0.981481481481482	0.918604651162791	0.942028985507246	0.966666666666667	0.903225806451613	0.984375	0.947368421052632	0.914285714285714	0.946666666666667	0.940298507462687	0.936708860759494	0.942028985507246	0.983050847457627	0.92	0.939393939393939	0.953488372093023	0.987179487179487	0.939393939393939	0.96078431372549	0.966666666666667	0.931506849315068	0.944444444444444	0.962264150943396	0.948717948717949	0.947368421052632	0.927272727272727	0.966666666666667	0.938461538461538	0.935483870967742	0.888888888888889	0.961038961038961	0.977272727272727	0.944444444444444	0.936507936507937	0.898305084745763	0.942028985507246	0.975903614457831	0.961038961038961	0.944444444444444	0.983333333333333	0.919354838709677	0.984848484848485	0.961038961038961	0.977272727272727	1	0.942028985507246	0.962025316455696	0.969230769230769	0.973333333333333	0.970149253731343	0.965909090909091	0.96875	0.958904109589041	0.927272727272727	0.942028985507246	0.974683544303797	0.94949494949495	0.941860465116279	0.975	0.9375	0.955223880597015	0.932203389830508	0.974025974025974	0.986842105263158	0.896551724137931	0.988505747126437	0.9	0.949367088607595	0.963414634146341	0.966666666666667	0.966666666666667	0.956521739130435	0.970149253731343	1	0.971830985915493	0.956521739130435	0.954545454545455	0.947368421052632	0.938461538461538	0.893333333333333	0.931506849315068	0.895522388059702	0.88	0.926470588235294	0.829787234042553	0.971830985915493	0.970149253731343	0.958333333333333	0.925373134328358	0.955882352941177	0.912280701754386	0.929824561403509	0.96969696969697	0.985074626865672	0.970149253731343	1	0.950819672131147	0.962962962962963	0.962962962962963	0.924242424242424	0.971014492753623	0.962962962962963	0.968253968253968	0.969230769230769	0.980392156862745	0.925373134328358	1	0.938461538461538	0.928571428571429	0.963636363636364	0.944444444444444	0.949152542372881	0.961538461538462	0.953846153846154	1	0.973684210526316	0.9	0.964912280701754	1	0.977777777777778	1
"X92895"	0.91044776119403	0.948051948051948	0.932432432432432	0.932203389830508	0	0.96	0.92	0.941176470588235	0.942528735632184	0.941176470588235	0.917647058823529	0.901639344262295	0.896551724137931	0.843137254901961	0.943661971830986	0.96	0.923076923076923	0.949367088607595	0.956521739130435	0.927272727272727	0.947368421052632	0.921875	0.926829268292683	0.96	0.904761904761905	0.916666666666667	0.910714285714286	0.959459459459459	0.901960784313726	0.941176470588235	0.92	0.902777777777778	0.945454545454545	0.966101694915254	0.953846153846154	0.951612903225806	0.907407407407407	0.960526315789474	0.927710843373494	0.928571428571429	0.9	0.933333333333333	0.925373134328358	0.923076923076923	0.946666666666667	0.943661971830986	0.867924528301887	0.918032786885246	0.96875	0.917808219178082	0.988636363636364	0.986666666666667	1	0.9875	0.96875	0.986666666666667	0.9375	0.977272727272727	0.984375	0.958333333333333	0.964285714285714	0.971428571428571	0.947368421052632	0.938144329896907	0.96551724137931	0.9875	0.953125	0.970149253731343	0.966666666666667	0.987012987012987	0.958904109589041	0.983870967741935	0.951807228915663	0.958904109589041	0.975	0.975609756097561	0.983333333333333	0.966101694915254	0.955882352941177	0.96969696969697	0.986111111111111	0.985915492957746	0.971014492753623	0.9375	0.886792452830189	0.953846153846154	0.935064935064935	0.959459459459459	0.986111111111111	0.981481481481482	0.956521739130435	0.961538461538462	0.971428571428571	0.96969696969697	0.979381443298969	0.924242424242424	0.955223880597015	0.983333333333333	0.947368421052632	0.99	0.969230769230769	0.96969696969697	0.984615384615385	0.967213114754098	0.949367088607595	0.935897435897436	0.970588235294118	0.970588235294118	1	0.967741935483871	0.952380952380952	0.98	0.940298507462687	0.980769230769231	0.96969696969697	0.964912280701754	0.962962962962963	1	0.966101694915254	0.94	0.969230769230769	0.982758620689655	0.959459459459459	1	0.945454545454545	0.918367346938776	1	0.947368421052632
"X83954"	0.954545454545455	0.957627118644068	0.974576271186441	0.96039603960396	0.96	0	0.939655172413793	0.956521739130435	0.901639344262295	0.914285714285714	0.928	0.941747572815534	0.95049504950495	0.925531914893617	0.906542056074766	0.96551724137931	0.912621359223301	0.966942148760331	0.982142857142857	0.947916666666667	0.939130434782609	0.900990099009901	0.976190476190476	0.928571428571429	0.942857142857143	0.931818181818182	0.97	0.918181818181818	0.911111111111111	0.945054945054945	0.911504424778761	0.93859649122807	0.936170212765957	0.95959595959596	0.877551020408163	0.940594059405941	0.958762886597938	0.956896551724138	0.943548387096774	0.926605504587156	0.909090909090909	0.929292929292929	0.954128440366973	0.941176470588235	0.93859649122807	0.982608695652174	0.948453608247423	0.951456310679612	0.951456310679612	0.929203539823009	0.968503937007874	0.982758620689655	0.963636363636364	0.975	0.971428571428571	0.973913043478261	0.942307692307692	0.976744186046512	0.950980392156863	0.906542056074766	0.969072164948454	0.86	0.974789915966387	0.964285714285714	0.960629921259842	0.966386554621849	0.941747572815534	0.972222222222222	0.96	0.928571428571429	0.982758620689655	0.939393939393939	0.951219512195122	0.897196261682243	0.949152542372881	0.923076923076923	0.948979591836735	0.95959595959596	0.972727272727273	0.962264150943396	0.991228070175439	0.963636363636364	0.923809523809524	0.952380952380952	0.97979797979798	0.932038834951456	0.931034482758621	0.88785046728972	0.963963963963964	0.956989247311828	0.954128440366973	0.933333333333333	0.871287128712871	0.842105263157895	0.93984962406015	0.933962264150943	0.912621359223301	0.98019801980198	0.948453608247423	0.932835820895522	0.920792079207921	0.952380952380952	0.981132075471698	0.990384615384615	0.949579831932773	0.931623931623932	0.953271028037383	0.953271028037383	0.978947368421053	0.929292929292929	0.971428571428571	0.955056179775281	0.923809523809524	0.98936170212766	0.97196261682243	0.97979797979798	0.898876404494382	0.979166666666667	0.97	0.944444444444444	0.981308411214953	0.958762886597938	0.974137931034483	1	0.969072164948454	0.932584269662921	0.964285714285714	0.987654320987654
"X84089"	0.942528735632184	0.901098901098901	0.911111111111111	0.948717948717949	0.92	0.939655172413793	0	0.91044776119403	0.900990099009901	0.916666666666667	0.952830188679245	0.925	0.9625	0.931506849315068	0.880952380952381	0.858823529411765	0.927710843373494	0.813953488372093	0.929411764705882	0.945945945945946	0.96875	0.9	0.95	0.956989247311828	0.964705882352941	0.907692307692308	0.823529411764706	0.784810126582278	0.943661971830986	0.942028985507246	0.924731182795699	0.957446808510638	0.959459459459459	0.987341772151899	0.939024390243902	0.95	0.931506849315068	0.934782608695652	0.971428571428571	0.943820224719101	0.963414634146341	0.922077922077922	0.903614457831325	0.938144329896907	0.968421052631579	0.931818181818182	0.960526315789474	0.950617283950617	0.963414634146341	0.968421052631579	0.951456310679612	0.967391304347826	0.97752808988764	0.91304347826087	0.9375	0.967391304347826	1	0.990740740740741	0.962962962962963	0.967032967032967	0.915492957746479	0.876543209876543	0.96875	0.929824561403509	0.951923076923077	0.969072164948454	0.925	0.964705882352941	0.961538461538462	0.934065934065934	0.920454545454545	0.975	0.970873786407767	0.920454545454545	0.947916666666667	0.98019801980198	0.947368421052632	0.974358974358974	0.98876404494382	0.964285714285714	0.917647058823529	0.97752808988764	0.977272727272727	0.951807228915663	0.96	0.964285714285714	0.89010989010989	0.956521739130435	0.954545454545455	0.986301369863014	0.8625	0.957142857142857	0.965909090909091	0.976470588235294	0.982758620689655	0.941176470588235	0.914634146341463	0.933333333333333	0.974025974025974	0.938053097345133	0.951219512195122	0.925925925925926	0.963414634146341	0.987654320987654	0.948453608247423	0.926315789473684	0.965116279069767	0.927710843373494	0.957746478873239	0.975308641975309	0.950617283950617	0.939393939393939	0.977272727272727	1	0.87012987012987	0.973684210526316	0.958333333333333	0.880597014925373	0.918918918918919	0.956521739130435	0.911392405063291	0.931506849315068	0.945054945054945	0.971830985915493	0.945205479452055	1	1	0.982758620689655
"X84111"	0.984375	1	0.971014492753623	0.981481481481482	0.941176470588235	0.956521739130435	0.91044776119403	0	0.95	0.950819672131147	0.962962962962963	0.946428571428571	0.962962962962963	0.891304347826087	0.953125	0.970588235294118	0.966666666666667	0.91304347826087	0.896551724137931	0.959183673469388	0.956521739130435	0.890909090909091	0.909090909090909	0.970588235294118	0.890909090909091	0.871794871794872	0.872340425531915	0.921875	0.933333333333333	0.878048780487805	0.957142857142857	0.955882352941177	0.958333333333333	0.980769230769231	0.96551724137931	0.944444444444444	0.959183673469388	0.971014492753623	0.961538461538462	0.984848484848485	0.964285714285714	0.962962962962963	0.950819672131147	0.929577464788732	0.971014492753623	0.919354838709677	0.938775510204082	0.964285714285714	0.982456140350877	0.985714285714286	0.948051948051948	1	0.967741935483871	0.971830985915493	0.925925925925926	0.953846153846154	1	0.987654320987654	0.982142857142857	0.984848484848485	0.863636363636364	0.984126984126984	0.985915492957746	0.978494623655914	0.975	0.986111111111111	0.982758620689655	0.966101694915254	0.961538461538462	0.970588235294118	0.9375	0.981481481481482	0.987179487179487	0.985074626865672	0.986301369863014	0.986666666666667	0.980769230769231	0.980769230769231	0.983870967741935	1	0.984375	0.87719298245614	0.967213114754098	0.96551724137931	0.98	0.96551724137931	0.957746478873239	0.985294117647059	1	0.978260869565217	0.933333333333333	1	0.933333333333333	1	0.965909090909091	0.983870967741935	0.983606557377049	1	0.96	0.955056179775281	0.927272727272727	0.947368421052632	0.982456140350877	1	0.928571428571429	0.986486486486487	0.983606557377049	0.966666666666667	1	0.981818181818182	0.982456140350877	1	0.967213114754098	1	0.947368421052632	0.959183673469388	1	1	1	1	0.982758620689655	1	0.985294117647059	1	1	1	1	1
"X84299"	0.927083333333333	0.878787878787879	0.898989898989899	0.918604651162791	0.942528735632184	0.901639344262295	0.900990099009901	0.95	0	0.914893617021277	0.910714285714286	0.885057471264368	0.931818181818182	0.94047619047619	0.858695652173913	0.851063829787234	0.924731182795699	0.913461538461538	0.9375	0.901234567901235	0.877551020408163	0.835294117647059	0.942857142857143	0.851063829787234	0.935483870967742	0.891891891891892	0.903614457831325	0.849462365591398	0.853333333333333	0.936708860759494	0.831578947368421	0.931372549019608	0.91358024691358	0.954022988505747	0.911111111111111	0.782051282051282	0.927710843373494	0.91	0.898148148148148	0.882978723404255	0.933333333333333	0.867469879518072	0.903225806451613	0.954128440366973	0.91	0.939393939393939	0.96551724137931	0.857142857142857	0.829268292682927	0.941747572815534	0.946902654867257	0.94	0.9375	0.932692307692308	0.967741935483871	0.94	0.934782608695652	0.974358974358974	0.956043956043956	0.980582524271845	0.952380952380952	0.879120879120879	0.942307692307692	0.944444444444444	0.918918918918919	0.911764705882353	0.922222222222222	0.935483870967742	0.942528735632184	0.951456310679612	0.918367346938776	0.955056179775281	0.945945945945946	0.929292929292929	0.912621359223301	0.963636363636364	0.965909090909091	0.97752808988764	0.947916666666667	0.911111111111111	0.948979591836735	0.948453608247423	0.947916666666667	0.946236559139785	0.965116279069767	0.898876404494382	0.901960784313726	0.908163265306122	0.948979591836735	0.963414634146341	0.9375	0.936708860759494	0.9375	0.886363636363636	0.925	0.877777777777778	0.888888888888889	0.876543209876543	0.875	0.917355371900826	0.989583333333333	0.968421052631579	0.896551724137931	0.989130434782609	0.913461538461538	0.913461538461538	0.958333333333333	0.958333333333333	0.963414634146341	0.955555555555556	0.909090909090909	0.9875	0.925531914893617	0.9625	0.923076923076923	0.952941176470588	0.925	0.925	0.890243902439024	0.9625	0.945652173913043	0.952941176470588	0.961165048543689	0.936708860759494	0.952380952380952	0.98780487804878	0.972602739726027	0.939393939393939
"X84694"	0.935897435897436	0.965909090909091	0.952941176470588	0.942028985507246	0.941176470588235	0.914285714285714	0.916666666666667	0.950819672131147	0.914893617021277	0	0.959183673469388	0.915492957746479	0.957746478873239	0.938461538461538	0.924050632911392	0.964705882352941	0.947368421052632	0.905882352941176	0.935064935064935	0.954545454545455	0.928571428571429	0.902777777777778	0.92	0.964705882352941	0.960526315789474	0.949152542372881	0.924242424242424	0.964285714285714	0.918032786885246	0.915254237288136	0.954022988505747	0.914634146341463	0.885245901639344	0.955882352941177	0.945945945945946	0.897058823529412	0.938461538461538	0.952941176470588	0.979381443298969	0.950617283950617	0.944444444444444	0.895522388059702	0.935064935064935	0.955555555555556	0.965116279069767	0.91025641025641	0.985507246376812	0.929577464788732	0.944444444444444	0.965116279069767	0.979381443298969	0.976190476190476	0.987654320987654	0.965909090909091	0.944444444444444	0.976190476190476	0.973684210526316	0.947368421052632	0.958333333333333	0.950617283950617	0.9375	0.935064935064935	0.96551724137931	0.94392523364486	0.969072164948454	0.916666666666667	0.945205479452055	0.917808219178082	0.956521739130435	0.964705882352941	0.951219512195122	0.942028985507246	0.968085106382979	0.963855421686747	0.966292134831461	0.978260869565217	0.971014492753623	1	0.961538461538462	0.96	1	0.935064935064935	0.934210526315789	0.96	0.985294117647059	0.96	0.942528735632184	0.976470588235294	0.922077922077922	0.951612903225806	0.948717948717949	0.967741935483871	0.975	0.96	0.961904761904762	0.961538461538462	0.947368421052632	0.971014492753623	0.939393939393939	0.952830188679245	0.973333333333333	0.973684210526316	0.944444444444444	0.986111111111111	0.978021978021978	0.989130434782609	0.974358974358974	0.933333333333333	0.984375	0.957746478873239	0.958904109589041	0.966101694915254	0.934210526315789	1	0.973684210526316	0.954545454545455	0.9	0.984615384615385	0.971014492753623	0.967213114754098	0.973333333333333	1	0.964285714285714	0.984126984126984	0.920634920634921	0.983870967741935	0.981481481481482	0.979591836734694
