PC	var_explained
1	0.19026
2	0.12989
3	0.11627
4	0.08154
5	0.06881
6	0.05675
7	0.0433
8	0.03546
9	0.035
10	0.03214
11	0.03093
12	0.02924
13	0.02611
14	0.02433
15	0.0191
16	0.01591
17	0.01413
18	0.01305
19	0.00801
20	0.00722
21	0.00633
22	0.00571
23	0.00397
24	0.0033
25	0.00148
26	0.00114
27	0.00064
28	0
29	0
