Food	Axis	correlation	pval	qval	Significance
Pinto calico or red Mexican beans dry cooked fat not added in cooking	Axis.1	0.582409037410037	4.4359201321318e-65	1.74952690011278e-61	*
Baked beans vegetarian	Axis.2	-0.524303138477346	6.73752549782382e-51	1.32864002817086e-47	*
Baked beans vegetarian	Axis.1	-0.5209978411004	3.58760457710919e-50	3.53737811302966e-47	*
Rice with beans	Axis.3	0.521155366158562	3.31414334374141e-50	3.53737811302966e-47	*
Rice with beans	Axis.4	-0.484101266066543	1.3925400187566e-42	1.09843556679521e-39	*
Baked beans vegetarian	Axis.18	0.471748417225739	3.0510926052347e-40	2.00558487250761e-37	*
Baked beans vegetarian	Axis.19	0.462483916930806	1.5073910358807e-38	8.49307177930497e-36	*
Hummus plain	Axis.2	0.4182855794128	3.78926602173538e-31	1.86810814871554e-28	*
Hummus plain	Axis.3	-0.416189835290782	7.99879552237677e-31	3.50524994891711e-28	*
Black brown or Bayo beans dry cooked fat not added in cooking	Axis.5	-0.414428460843062	1.49265216059452e-30	5.88702012138478e-28	*
Pinto calico or red Mexican beans dry cooked fat not added in cooking	Axis.2	-0.404058711899955	5.45413458093237e-29	1.95555516247248e-26	*
Baked beans vegetarian	Axis.3	-0.401005247890925	1.536434096522e-28	4.09459053368283e-26	*
Hummus flavored	Axis.16	-0.401364993255208	1.36070680414082e-28	4.09459053368283e-26	*
Pork and beans	Axis.5	0.400965318215228	1.55727327599499e-28	4.09459053368283e-26	*
Pork and beans	Axis.6	0.400968065488474	1.55583056250361e-28	4.09459053368283e-26	*
Hummus plain	Axis.47	-0.390204865716693	5.49991869004404e-27	1.35572995709586e-24	*
Hummus plain	Axis.11	-0.387756788434938	1.21515131536719e-26	2.81915105165188e-24	*
Black brown or Bayo beans dry cooked fat not added in cooking	Axis.4	0.387448891562387	1.34191491451861e-26	2.94028467936744e-24	*
Pork and beans	Axis.40	-0.385371970570517	2.61353391917561e-26	5.42514619854138e-24	*
Pinto calico or red Mexican beans dry cooked fat not added in cooking	Axis.42	0.38228348105976	6.98092350881805e-26	1.37663811593892e-23	*
Black brown or Bayo beans dry cooked fat not added in cooking	Axis.23	-0.380309131412801	1.30105442650852e-25	2.44350412292839e-23	*
Soft taco with beans	Axis.9	0.376514376241847	4.25406063952974e-25	7.29478920100231e-23	*
Red beans and rice	Axis.8	0.376525185307828	4.23982334032951e-25	7.29478920100231e-23	*
Refried beans from restaurant	Axis.6	-0.376068906528789	4.88380220596256e-25	8.02571495846513e-23	*
Refried beans from restaurant	Axis.20	-0.367791838301322	6.10854595372994e-24	9.26619432365803e-22	*
Red beans and rice	Axis.9	-0.367903587370465	5.90657455680185e-24	9.26619432365803e-22	*
Hummus flavored	Axis.2	0.362527301233315	2.93344941087299e-23	4.2850090653641e-21	*
Hummus plain	Axis.30	0.362245784591302	3.18759153709924e-23	4.48995036511407e-21	*
Refried beans from restaurant	Axis.7	0.357836890039125	1.15854420991351e-22	1.57562012548237e-20	*
Hummus plain	Axis.39	0.356410335856588	1.75138720024816e-22	2.30249037259292e-20	*
Soft taco with beans	Axis.10	0.35404841258475	3.45564020801287e-22	4.39646612271056e-20	*
Rice with beans	Axis.5	-0.351086527667804	8.03789809138035e-22	9.90670939762628e-20	*
Black brown or Bayo beans dry cooked fat not added in cooking	Axis.24	-0.350346626435486	9.91105015717574e-22	1.18452066120912e-19	*
Hummus plain	Axis.16	0.350204609808865	1.03170185722561e-21	1.19677415438171e-19	*
Hummus flavored	Axis.3	-0.350070103646233	1.07166374852859e-21	1.20761194977051e-19	*
Hummus plain	Axis.64	0.348740001455483	1.55896912077687e-21	1.70793728120666e-19	*
Red kidney beans dry cooked fat not added in cooking	Axis.15	0.344356271185526	5.29460616371011e-21	5.64376397558721e-19	*
Pinto calico or red Mexican beans dry cooked fat not added in cooking	Axis.39	-0.343860349157566	6.07262348248607e-21	6.30274395129607e-19	*
Black brown or Bayo beans dry cooked fat not added in cooking	Axis.6	0.343398224456643	6.89866431671419e-21	6.97649540131301e-19	*
Pork and beans	Axis.42	-0.340670990246412	1.45800013245384e-20	1.43758813059948e-18	*
Pork and beans	Axis.4	0.338959635934424	2.32301821890738e-20	2.23463020862701e-18	*
Red kidney beans dry cooked fat not added in cooking	Axis.7	-0.337100518316279	3.84050463562245e-20	3.6064167340226e-18	*
Hummus plain	Axis.4	-0.33501918919673	6.71530680548228e-20	6.15934186995863e-18	*
Hummus flavored	Axis.11	-0.333456994860761	1.01859304896851e-19	9.13029769348137e-18	*
Rice with beans	Axis.2	0.332076932409617	1.4688542774088e-19	1.2873691711334e-17	*
Baked beans vegetarian	Axis.5	-0.32933897491562	3.01993020076648e-19	2.58926189387457e-17	*
Hummus plain	Axis.1	-0.329015386850855	3.2868692548866e-19	2.75817283856867e-17	*
Pork and beans	Axis.7	0.32630782286783	6.65052189622077e-19	5.4645121580614e-17	*
Hummus plain	Axis.15	-0.326078176141569	7.05788526632023e-19	5.68087744701367e-17	*
Hummus flavored	Axis.15	0.325046896132601	9.21188289980789e-19	7.26633323136846e-17	*
