Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
SEQN	83732	86176.5	88744	88721.0342286665	91258.5	93702	2888.32251584836
GRMS	588.915	2242.8025	2944.655	3170.93349893035	3849.095	11901.56	1288.28185194135
KCAL	604	1477.25	1907.5	1997.0589493701	2404.5	5136	720.154806474147
PROT	13.21	56.72	73.99	78.8627169004041	95.88	228.85	31.4610307884675
CARB	25.13	170.6775	225.78	238.471425005942	290.2975	822.645	93.2605246079513
SUGR	2.335	60.585	89.79	100.292325885429	127.25	436.12	55.2496789170665
FIBE	1.15	10.85	15.45	17.0240670311386	21.425	89.55	8.82153013330428
TFAT	15.11	52.77	73.335	78.2856453529831	97.7025	228.095	34.5061849219185
SFAT	3.3295	16.14375	23.13	25.3193444259567	32.0285	97.467	12.5773705789344
MFAT	3.988	18.259	25.621	27.5822205847397	34.39525	100.3785	12.8862823332426
PFAT	1.775	11.6165	16.5615	18.1925477775137	22.82575	84.773	9.21076047959309
CHOL	0	165.5	259	298.428096030425	387	1751	183.712550891279
ATOC	1.01	5.1525	7.285	8.44403969574519	10.235	97.465	5.34749396291363
ATOA	0	0	0	0.771373900641787	0	58.81	3.00005773279582
RET	0.5	193.5	317.5	397.657356786309	497.5	9914	437.349777301433
VARA	7	313.75	491	604.613263608272	743	10021.5	534.377223677196
ACAR	0	24	83	394.36974090801	421	24302	855.190167487495
BCAR	4.5	452.5	1065.5	2247.57986688852	2618.75	53020	3257.30857365405
CRYP	0	17	45.5	95.2380556215831	102.5	7314.5	217.134302857116
LYCO	0	791	2459.5	4764.78024720704	6180	71914	6524.86242958859
LZ	0.5	473.25	844.5	1682.63739006418	1584.75	53932	3090.2744628667
VB1	0.2375	1.04775	1.435	1.5395677442358	1.89225	8.2275	0.690355503977352
VB2	0.258	1.3275	1.802	1.98173698597575	2.401	11.9605	0.990438597953438
NIAC	3.9355	16.675	22.5065	24.5479385547896	30.039	126.4905	11.6849366677308
VB6	0.307	1.2825	1.7565	1.99451354884716	2.37275	20.5435	1.21298730948195
FOLA	45	247.25	341.5	381.500118849536	469.5	2358.5	197.757787394129
FA	0	76	132	166.917280722605	212.25	2134.5	144.820428195252
FF	19.5	135.5	191.5	214.366294271452	268	1616	114.122522233617
FDFE	45	309	436.5	498.05312574281	617	3851.5	286.909006318892
CHL	36.65	219.85	301.2	326.662835749941	405	1233.65	150.560298102408
VB12	0.025	2.38	3.71	4.69380556215831	5.6925	105.505	4.85932262266595
B12A	0	0	0	0.935916329926313	1.065	26.995	2.18161257483171
