Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29
F_TOTAL	-0.138100896006951	0.152077822008984	-0.359764233989401	0.14337115608825	-0.00931475979590347	0.0303440978807624	-0.0634919907395554	0.0343462004756573	0.111751397128982	-0.246941704463386	-0.252288317258565	0.149675015654509	0.000183065223039028	0.173932179525957	-0.0972382130128499	-0.410625479414148	0.232094764823616	0.157452501936132	0.251086718704345	-0.166324874375776	-0.0798236936547929	-0.051822362047673	-0.079540276057106	0.253452931634104	0.153392939312963	0.149643722385479	-0.372615151354997	0	0
F_CITMLB	-0.107840660490025	0.106783508933247	-0.33013903693899	-0.0172057659591695	-0.0843250089608129	-0.169332617759409	0.152599227419458	-0.222280996695736	-0.237032203796013	-0.0131375174393768	-0.120509911017154	-0.265909030998872	0.135117441390017	0.4319454793754	0.261285462152481	0.232276041869215	0.0798350245897895	0.125440635640038	-0.199396521979826	0.0871914294980669	0.29088813326692	-0.0982711845052143	0.211708271593061	-0.06000114599263	0.195735842259047	0.18478766479765	0.0770343738414693	-3.33251089797456e-16	-6.19817768096959e-16
F_JUICE	-0.068715529793006	0.0184479272888425	-0.317766695913911	0.0561016982355928	0.0833549352338305	0.329420408441277	-0.2471692848118	0.262688398987092	0.348023220820619	-0.0892147813819344	0.121469720063808	0.151102122440591	0.0302535491105624	0.0177949280441093	-0.322015026348294	0.123043390746056	0.173292660227953	0.0433766387501283	-0.269443042173342	0.113928784901571	0.214931791621421	-0.230292004638025	0.112535761239999	-0.174946563905931	-0.0794146669201704	0.0880138008936797	0.290645149792466	8.8030692959e-17	-4.68218138934345e-16
V_TOTAL	-0.290338895936301	-0.0315309829381175	0.296837322298183	0.186469167144458	-0.0903085393437828	0.172601986332197	-0.0423898006811872	-0.112172667924428	-0.00292150668098406	-0.0814283938557316	-0.0621766054011824	-0.027441450546696	-0.0723564351258875	0.233152013616453	-0.0681169095098875	0.0528441869007026	0.0239874353279848	-0.0435949287499555	0.0147954216012455	-0.0452232470191954	-0.208990231005563	-0.080817096106811	0.0945514678008868	-0.184665045587911	0.0174126954812399	0.0187168247790953	-0.00283584000139427	0.658098721183837	0.359817379612383
V_DRKGR	-0.244226550444916	-0.0111039161818992	-0.0430880777049252	0.338982749843959	-0.115806835023702	0.123116471650039	0.298183994104997	-0.0622404864995903	-0.0797318826641919	-0.0567693864300445	-0.290738272505881	0.025362065263144	-0.120610124345847	-0.244331367865008	-0.241770083841381	0.0463180936114671	-0.138190305329162	0.0143175502256455	-0.00994901966849718	-0.322157144768232	0.00575522659340241	0.297156394625318	0.179274601071136	-0.0323353923000241	0.224145066034603	-0.0261004672427043	0.369119217628613	-0.176872979551228	-0.0967058132431465
V_REDOR_TOTAL	-0.260428396538809	0.16682037573366	0.303583929895037	-0.00942278467274875	0.0231023819337301	0.154685608906021	0.121199811462436	0.045839035439304	-0.00778104771131901	0.114886392707819	0.16074152081152	0.073961560943141	0.145455437138759	-0.103823999506566	0.133497114000479	-0.065593146330589	0.150590731529681	0.138968813466619	-0.0505460125621096	-0.274291242148102	0.143351576173771	-0.245478961412385	0.0748489008241012	-0.483290856265112	0.154656373529016	-0.0555135295214743	-0.364092300445504	-0.236885793462262	-0.129517992859282
V_REDOR_TOMATO	-0.152846962346064	0.218758641249976	0.323539890435521	-0.0847440050833161	-0.0397221556486074	0.159121246622438	-0.0845664673061172	0.122414352622861	0.134932923083066	-0.0203994973720126	0.285333032311585	-0.0440262502248467	0.215273620870045	0.0316858514678365	0.227720795471671	-0.198579333131001	-0.0492157155695771	0.319453556545277	0.159381868128791	0.109932809642276	0.0667296248081154	0.222413852266043	0.156723292364838	0.329424475952771	0.152179281949735	0.255631751632509	0.331368409711828	-2.95742420179221e-16	-7.01334676203725e-16
V_STARCHY_TOTAL	-0.0129465222801656	0.0699946126933525	0.230028353786604	-0.0812723646129039	-0.304724288951246	0.33257246993677	-0.323787173958798	-0.106091430913957	-0.0219685518758142	-0.0596309525659895	-0.253305872331383	-0.173062121157681	-0.330990499030639	0.320536831270087	-0.0288512907023039	0.0355151738298746	-0.253371865225157	0.019509842761433	-0.00246180114831613	-0.0257143298067558	-0.00924275407858418	-0.117090069801438	-0.101389993322692	0.002301708220278	-0.224528988887267	0.127032568676884	-0.0268331938668162	-0.336084075529814	-0.18375494054912
V_STARCHY_OTHER	-0.0217681809498796	-0.187374614612872	-0.123040930918811	-0.172764663803827	0.231029486722434	0.4771767964711	0.150120837675265	0.0618924053744798	0.148312029737227	-0.00461379147740677	-0.0123627370630683	-0.177030841628578	-0.0649264383049611	0.129574206583707	0.248010281283656	0.358337118110626	0.278036287599748	0.0747129554733325	0.104346651063326	-0.149525483029083	-0.0737649921504024	0.38445545432397	-0.209172231360684	0.0431998003675299	0.0020286743488126	-0.150955175254673	-0.0988460648827015	-1.47320105895968e-17	-2.43379092216014e-16
V_OTHER	-0.22156038931024	-0.221550364585805	0.145517480781077	0.249916268421247	0.15701284963766	-0.153250608564001	-0.00143001568758667	-0.102926154997635	0.05795779027056	-0.13732752168682	0.155844737907638	0.0490004039930611	0.136727568547361	0.307356344582834	-0.0649591245573659	0.081729753881858	0.242890196454567	-0.19141809325527	0.0657859962980489	0.273018687502239	-0.458668447136317	-0.0223152704748814	0.126874882699436	-0.00567874698824976	0.028804663566895	-0.034139777001182	0.0761164043716727	-0.369342513757077	-0.201939087862774
