PC	var_explained
1	0.12605
2	0.08361
3	0.08025
4	0.0687
5	0.05251
6	0.04742
7	0.04628
8	0.0444
9	0.03741
10	0.03567
11	0.03539
12	0.03403
13	0.03265
14	0.02962
15	0.02851
16	0.02803
17	0.02543
18	0.02331
19	0.02199
20	0.02055
21	0.01911
22	0.01857
23	0.01476
24	0.01289
25	0.01078
26	0.00966
27	0.00708
28	0.00533
29	0
30	0
