Food	Axis	correlation	pval	qval	Significance
Milk fat free skim 	Axis.6	0.0853354491047985	0.19047810872495	0.801041382990414	
Milk fat free skim 	Axis.10	-0.0936988412293581	0.150429999418645	0.801041382990414	
Milk lactose free reduced fat 2 	Axis.8	-0.104442359066617	0.108767455215855	0.801041382990414	
Milk lactose free reduced fat 2 	Axis.10	0.114672100396996	0.0780967980342041	0.801041382990414	
Milk lactose free whole	Axis.5	0.0837284041445727	0.198993668358453	0.801041382990414	
Milk lactose free whole	Axis.6	-0.0970488320766638	0.136311786487262	0.801041382990414	
Milk lactose free whole	Axis.8	-0.0837284041445727	0.198993668358453	0.801041382990414	
Milk lactose free whole	Axis.9	0.0694565170744751	0.286919946671024	0.801041382990414	
Milk lactose free whole	Axis.10	0.0713594353504881	0.273888416176249	0.801041382990414	
Buttermilk low fat 1 	Axis.2	0.108466341732742	0.0957317231347015	0.801041382990414	
Buttermilk low fat 1 	Axis.10	-0.103709046042709	0.111286752205258	0.801041382990414	
Buttermilk reduced fat 2 	Axis.1	0.104660505180716	0.108026729490905	0.801041382990414	
Buttermilk reduced fat 2 	Axis.2	-0.0694565170744751	0.286919946671023	0.801041382990414	
Buttermilk reduced fat 2 	Axis.7	-0.0713594353504881	0.27388841617625	0.801041382990414	
Buttermilk reduced fat 2 	Axis.10	-0.0970488320766638	0.136311786487262	0.801041382990414	
Buttermilk whole	Axis.1	0.104660505180716	0.108026729490905	0.801041382990414	
Buttermilk whole	Axis.2	-0.0694565170744751	0.286919946671023	0.801041382990414	
Buttermilk whole	Axis.7	-0.0713594353504881	0.27388841617625	0.801041382990414	
Buttermilk whole	Axis.10	-0.0970488320766638	0.136311786487262	0.801041382990414	
Kefir NS as to fat content	Axis.1	-0.107514882594735	0.098695873338323	0.801041382990414	
Kefir NS as to fat content	Axis.4	0.0827769450065662	0.204163865320983	0.801041382990414	
Kefir NS as to fat content	Axis.7	-0.0761167310405207	0.24308885095363	0.801041382990414	
Kefir NS as to fat content	Axis.8	0.0989517503526769	0.128757689409435	0.801041382990414	
Milk evaporated whole	Axis.5	-0.0819572608458185	0.208695289802892	0.801041382990414	
Milk evaporated whole	Axis.7	-0.1174123303489	0.0711954610099468	0.801041382990414	
Soy milk	Axis.2	-0.0827769450065662	0.204163865320983	0.801041382990414	
Soy milk	Axis.8	-0.108466341732742	0.0957317231347015	0.801041382990414	
Almond milk sweetened	Axis.2	-0.103171025172716	0.113164054194861	0.801041382990414	
Almond milk sweetened	Axis.5	0.0844427048825872	0.195175142172357	0.801041382990414	
Almond milk sweetened	Axis.6	-0.0958458916960773	0.141259657258268	0.801041382990414	
Almond milk sweetened	Axis.8	-0.133456157573271	0.0400860859462826	0.801041382990414	
Almond milk sweetened	Axis.9	0.0867633779287292	0.183138077609155	0.801041382990414	
Almond milk sweetened	Axis.10	0.109718721540617	0.0919385358486993	0.801041382990414	
Almond milk unsweetened	Axis.2	-0.116878222241062	0.0725001756335263	0.801041382990414	
Almond milk unsweetened	Axis.6	-0.0721777261687777	0.268410138679177	0.801041382990414	
Almond milk unsweetened	Axis.7	0.115912620418821	0.0749082683958203	0.801041382990414	
Almond milk unsweetened	Axis.9	-0.0714666553708093	0.273166310818228	0.801041382990414	
Almond milk unsweetened	Axis.10	0.113953135549419	0.0799944589407062	0.801041382990414	
Rice milk	Axis.1	0.103709046042709	0.111286752205258	0.801041382990414	
Rice milk	Axis.2	-0.0761167310405207	0.24308885095363	0.801041382990414	
Rice milk	Axis.10	-0.0694565170744751	0.286919946671023	0.801041382990414	
Coconut milk	Axis.1	-0.0989517503526769	0.128757689409435	0.801041382990414	
Coconut milk	Axis.7	-0.0694565170744751	0.286919946671023	0.801041382990414	
