Group	macronutrient	n	mean	sd
F_18_19	Carbohydrate	95	50.7521708422887	8.58126010138897
F_20s	Carbohydrate	346	48.0724798071919	8.01940350850373
F_30s	Carbohydrate	335	48.7521547462226	8.09419340842535
F_40s	Carbohydrate	383	49.3101241086417	8.10740327428142
F_50s	Carbohydrate	347	47.7678517937302	8.17374930278105
F_60s	Carbohydrate	365	48.7305327607138	8.43845862828585
F_70s	Carbohydrate	207	48.4972775361583	8.58544533866015
F_80plus	Carbohydrate	138	49.5410686138039	6.8884407376607
M_18_19	Carbohydrate	94	48.5079865582918	7.32392104342696
M_20s	Carbohydrate	280	48.7313610635267	7.55442473001265
M_30s	Carbohydrate	311	48.3981329517266	8.63703299923286
M_40s	Carbohydrate	293	47.9738940667604	8.56538148690313
M_50s	Carbohydrate	305	47.4328930666383	8.64083245709939
M_60s	Carbohydrate	349	48.5319170974089	8.5783167117204
M_70s	Carbohydrate	235	47.6989600034945	9.08469249370749
M_80plus	Carbohydrate	124	48.9014027457155	7.57797639755707
F_18_19	Protein	95	14.6276013131856	4.28762904516924
F_20s	Protein	346	16.228447700812	4.66824679848984
F_30s	Protein	335	16.2672115268592	4.58358065387721
F_40s	Protein	383	16.0587962574038	4.36407343261151
F_50s	Protein	347	16.3223839056032	4.06967789804813
F_60s	Protein	365	16.1046191887917	3.90055533894754
F_70s	Protein	207	16.0701491498134	3.93624182114571
F_80plus	Protein	138	15.1110497848746	3.46882242759725
M_18_19	Protein	94	15.911696953077	4.91268947896443
M_20s	Protein	280	16.8410918658141	4.79178720013804
M_30s	Protein	311	16.3427465277363	4.55442221333114
M_40s	Protein	293	17.4871383649341	4.86342876069709
M_50s	Protein	305	16.6190630613116	4.30220986423474
M_60s	Protein	349	16.5938273957668	4.17543339918769
M_70s	Protein	235	16.1450787438172	4.15392572000453
M_80plus	Protein	124	15.3244101297001	3.85233307690651
F_18_19	Total Fat	95	34.6202278445257	7.0600477631444
F_20s	Total Fat	346	35.699072491996	6.74067737998947
F_30s	Total Fat	335	34.9806337269183	7.11924813198054
F_40s	Total Fat	383	34.6310796339545	7.1307775906964
F_50s	Total Fat	347	35.9097643006666	7.1719711080404
F_60s	Total Fat	365	35.1648480504945	7.87190690460211
F_70s	Total Fat	207	35.4325733140283	7.86163268450799
F_80plus	Total Fat	138	35.3478816013215	6.63087783822236
M_18_19	Total Fat	94	35.5803164886312	5.79236884027671
M_20s	Total Fat	280	34.4275470706593	6.18133338312788
M_30s	Total Fat	311	35.2591205205371	6.90785999388669
M_40s	Total Fat	293	34.5389675683055	7.61545848383235
M_50s	Total Fat	305	35.9480438720501	6.96485375336406
M_60s	Total Fat	349	34.8742555068243	7.69910367547142
M_70s	Total Fat	235	36.1559612526884	8.402363901707
M_80plus	Total Fat	124	35.7741871245844	6.38433866574828
