Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
PF_TOTAL	0	3.528374	5.3169025	6.03927850090888	7.8088755	30.7785275	3.69224311655453
D_MILK	0	0.0885	0.359516	0.617011883776414	0.899225	7.62805	0.75133299331731
D_YOGURT	0	0	0	0.0643478465121563	0	2.51125	0.187861522962101
D_CHEESE	0	0.06237	0.41505	0.62721022176778	0.9052265	12.3701925	0.743018705395245
D_TOTAL	0	0.540705	1.082	1.34043959690979	1.8584635	17.0834675	1.12234065531053
OILS	0	14.178084	23.084065	26.2230274854579	34.5487215	148.294148	16.668539178228
SOLID_FATS	0	17.4464	28.32216	32.0516293277664	42.286647	253.962884	20.5244701360327
ADD_SUGARS	0	6.3915955	11.9229875	15.0726173735515	20.1821	138.218571	12.3257842183945
A_DRINKS	0	0	0	0.503839734946603	0.21	30.525	1.36912262072484
NoOfItems	2.5	11.5	14.5	15.1055441945012	18.5	42.5	5.22425994588651
