PC	var_explained
1	0.27768
2	0.09965
3	0.06897
4	0.05714
5	0.04521
6	0.04444
7	0.0427
8	0.03824
9	0.02864
10	0.02795
11	0.02725
12	0.02426
13	0.0235
14	0.02054
15	0.01908
16	0.01854
17	0.01797
18	0.01618
19	0.01484
20	0.01279
21	0.00996
22	0.00901
23	0.00858
24	0.00673
25	0.00584
26	0.0055
27	0.0045
28	0.00425
29	0.00395
30	0.00314
31	0.00288
32	0.0022
33	0.00183
34	0.0017
35	0.0015
36	0.00117
37	0.00072
38	0.00068
39	0.00028
