"Axis"	"Eigen"
1	0.0375645273262778
2	0.0304558644958571
3	0.028159271765195
4	0.0271130670712151
5	0.0242391949576408
6	0.0220682978286228
7	0.020715387459479
8	0.0200644298396982
9	0.0185181138179673
10	0.0183110489056469
11	0.0179767651056579
12	0.016779604894676
13	0.0166469161219149
14	0.0162968586788487
15	0.0155903298583689
16	0.0155417749961567
17	0.0148181012424512
18	0.0147403552720385
19	0.0142272397745479
20	0.0139995632411098
21	0.0136380273350896
22	0.0131471484810869
23	0.0129029462458332
24	0.0126473429905178
25	0.0125392457995029
26	0.011913486272342
27	0.0116655747136168
28	0.0115039386932818
29	0.011190095822975
30	0.0109849578380724
31	0.0106580392320774
32	0.0104681722424704
33	0.0103364285137506
34	0.0102825840497935
35	0.00998174903044192
36	0.00980083285891415
37	0.00965080084834664
38	0.00940873536795129
39	0.00925678872550594
40	0.00909985587681509
41	0.00886508367388559
42	0.00861631284391828
43	0.00854174204999161
44	0.00842259042691216
45	0.00822731444854143
46	0.00803661308434461
47	0.00792946579472836
48	0.00786484609067708
49	0.00764526795186381
50	0.00753024725197148
51	0.00742714100395063
52	0.00730543203529264
53	0.00721021292304048
54	0.00701710132484747
55	0.00696356290452988
56	0.00682195164444268
57	0.00676262302114806
58	0.00670316332754901
59	0.00663478921458636
60	0.00650369251807449
61	0.0063626258686407
62	0.00622734677864465
63	0.00608324216874997
64	0.00599381372587906
65	0.00593486693693155
66	0.00580745046912899
67	0.0056823105963457
68	0.00555826439847821
69	0.00541687212247743
70	0.00535148702166798
71	0.00527924404718767
72	0.00519789835603026
73	0.00515600012095645
74	0.00509554508870608
75	0.00497460026201138
76	0.00480359682339953
77	0.00476486873582353
78	0.00473030312354478
79	0.00462191231223117
80	0.00460408797648314
81	0.00450027852569339
82	0.00437369299039669
83	0.00429678180809624
84	0.00414135889957251
85	0.00411532236238994
86	0.00407085561978978
87	0.00401868484020919
88	0.00388400945144782
89	0.00380745599397968
90	0.00374891363774423
91	0.00362651130002227
92	0.00354681456050146
93	0.00345875363907284
94	0.0034095953177199
95	0.00327906672659122
96	0.00319628775557705
97	0.00315239629270766
98	0.00309712603399087
99	0.00300752873172101
100	0.00289834443064084
101	0.00282492702331359
102	0.00274906823669699
103	0.00272645564909258
104	0.00256219235255083
105	0.00249670838846063
106	0.00243773613228589
107	0.00235094791523364
108	0.0022347254742955
109	0.00220267701185303
110	0.00200845045349676
111	0.00193513113782946
112	0.00183392638298233
113	0.00171877978737549
114	0.00166169771491049
115	0.0015314722955452
116	0.00147379353682861
117	0.00139735485676092
118	0.00131967115662976
119	0.00114294320452075
120	0.00110024508306175
121	0.000946759961061456
122	0.000851614214397232
123	0.00070173206411554
124	0.000556051325851515
125	0.000251864915586901
126	8.2646132357128e-05
127	0
128	-0.000308305384329037
