Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32
BMXWT	-0.0510256504623287	0.195517949798091	-0.0574814109810651	0.00615941978284065	-0.101335214144329	0.00834090748794263	-0.21582767063363	0.0111046136614189	0.139931004797174	-0.0274346007340821	-0.131321303004126	-0.313602293618162	0.450174284112995	0.291359817690876	0.254342497126325	-0.30731151612827	-0.32050466095544	0.0329047962013428	0.153818200855781	0.0254880664610227	0.0235935675579061	0.252704678529108	-0.272355177864446	0.199908381691189	0.0459861767781169	-0.0507209601356962	-0.00418379457492333	-0.00251865936534855	0.0692603092457139	1.98648392035599e-16	0	0
F_CITMLB	0.0161877193297933	-0.2833428475033	0.142624211519303	-0.149887096373417	0.079289318772227	-0.106270506002303	-0.044812176830359	0.226264966439211	0.17443485978248	0.209690057394656	-0.106502690920072	-0.0785976639089416	0.14853753113328	-0.427348190015133	-0.0495130972307035	0.00155344141811024	-0.286491939264695	0.347862572761307	-0.084920402418992	0.00957153351873741	-0.0970189291663301	0.285218896017897	0.175564331895219	-0.123861191864015	-0.210011400644367	0.0444572043273763	-0.108375973901069	-0.00300872568511798	-0.0101279810065279	0.308331089981597	0.0448948254248684	0.0668077826695965
F_OTHER	-0.122424843534709	-0.376245889550099	0.0928728022177003	-0.14399087073377	0.167240257877493	0.0631291033496374	-0.0542028867788059	-0.126772651418426	0.151464240841991	-0.0871724675647856	0.22474441985252	0.025552612064277	0.152263192091817	0.144310211404263	0.105740926266575	0.0940113502861891	0.180254290476567	-0.147570132250875	0.332254751708355	0.100225935518499	0.0117447207207826	-0.0446649995215016	0.216920570895971	0.231516019310149	0.348122116180291	-0.0362075172909445	-0.0355446578454613	-0.0396520869493614	-0.00436226088908053	0.448173084935997	0.0652566447630277	0.0971081121224392
F_JUICE	-0.149469217427042	-0.0581582991889482	0.0150105882616873	-0.109039949957884	0.27291939000037	-0.0737927479851742	-0.175791965897068	0.288208013068004	-0.333505556503345	-0.101325399626086	-0.397510088294348	0.0647456691258796	-0.13919059674026	0.152477259974668	0.0327398065474887	-0.310637858502565	0.230739664630814	-0.062995338497657	-0.0826786377713133	0.00395604005622422	0.0409406337349501	-0.125355636588741	-0.25111029802413	-0.138430609823568	-0.125662501939508	-0.0910949369505574	0.0461137982236144	0.00492369247542069	-0.0166729898182573	0.379932605658481	0.0553204284565364	0.0823220744604129
F_TOTAL	-0.151465314536372	-0.394881982162768	0.129649633472048	-0.216091548617695	0.288392194640844	-0.0461647043998077	-0.14895726956548	0.173878100381024	-0.00716219967516281	-0.0183341186419363	-0.118061107520504	0.0167801498684535	0.0868423895860606	-0.0130040703276763	0.0632797542905156	-0.107082097190263	0.113766324215714	0.0244042418352282	0.129664040598054	0.0701101222818425	-0.0129158943396833	0.0288227712709829	0.0794426280226293	0.018424257153082	0.061802806376711	-0.0527246439289561	-0.0451929860493706	-0.0238960308623054	-0.0162058267594807	-0.704217808702744	-0.102538266850352	-0.152586722015871
V_DRKGR	-0.0878813917314862	-0.282124302172958	-0.00484472614766651	-0.160925376354046	0.146193818785439	-0.0474133066000334	0.0923975060482221	-0.28671465893393	0.25012623991119	-0.0821616115901348	0.0695718688423395	0.100382913231137	0.0245913863624061	0.10380315959995	0.326659225647697	0.219037185225465	-0.199071532641723	-0.158936784061541	-0.308630413425588	-0.12651750734343	0.238138721032032	-0.0338589827559085	-0.333176750305121	-0.149609795938994	-0.271747909161748	0.0376095341604282	0.177131078452535	-0.0517952961239908	-0.213047761720669	4.85722573273506e-17	-1.33573707650214e-16	-6.76542155630955e-17
V_REDOR_TOMATO	-0.266143033948653	0.0712074271855043	-0.0861837809977235	0.178260414844235	0.304554503689586	-0.279575148177991	0.195526423067608	-0.0943497036914252	-0.0590720464301942	-0.147944257630606	0.115695596703014	0.0521771203498331	0.0927394937974689	0.130350954894013	-0.324570985935877	-0.0343806890582949	-0.000471419425300785	0.0301446394532406	-0.0948924408708531	0.141090582965053	-0.0245289388133938	0.276965502925464	0.0561014385814307	0.204382416213054	-0.170141812415458	0.0768209149720125	0.0221056970891354	-0.108207508245435	-0.0387381321087914	0.113851521700124	0.00502258588873913	-0.528822398929832
V_REDOR_OTHER	-0.13506420455466	-0.187677764908875	-0.230310666956595	0.195745572292016	-0.28638990286158	-0.158231540932992	-0.0849146819361543	-0.0424153456653149	0.133544668261558	0.132706505827563	-0.318711289232063	-0.270269601720647	-0.148206205737606	-0.148033765585387	0.186678815677553	0.0121406016717612	-0.0279625310292107	-0.0824259727144015	0.0612011393510794	0.0658382594570524	-0.0539963443369292	-0.287134625644011	0.0901377676535055	-0.0942646466335839	0.173078921939368	-0.0369648975140536	0.0480374609905356	0.0396820773832021	-0.222391888783662	0.104697596617988	0.00461875839256197	-0.486303857681791
V_REDOR_TOTAL	-0.311382538371507	-0.0808718667154982	-0.237697827338999	0.285792009318699	0.0328582930055976	-0.339092227729416	0.0936817918851212	-0.106377816652565	0.0508420138119813	-0.020666682408088	-0.141505423527154	-0.15663918201262	-0.0347405436666399	-0.00461117966885339	-0.121970421574386	-0.01851970498717	-0.0208884742840981	-0.0364185201533545	-0.0308010141926492	0.160845572770251	-0.0591768632211821	0.0103040919370722	0.110874613100018	0.0938874301283192	-0.00875787666031693	0.0341641931386873	0.052872583430337	-0.0572082131280848	-0.194041211791775	-0.142723761079731	-0.00629629132472128	0.662929406576297
V_STARCHY_TOTAL	-0.130915406994235	0.0165011891730156	-0.220645306542898	0.12448668826469	0.0782750731330337	0.481562345923541	-0.324236581200886	-0.00919455077823893	-0.126197997145571	0.00584641122812377	0.0612542170628652	0.184909974561013	0.0709528928620125	-0.0816563868151407	-0.0361132931555201	-0.0969568667648721	-0.0683781140085104	-0.057581941904986	-0.107638307471668	-0.247062432608296	-0.141589863117818	0.117227265616295	0.0935952499229284	0.0660881376940866	0.0387695360927454	0.19018576981225	-0.150769124480615	-0.067551500243696	-0.553489525740265	-3.53883589099269e-16	-9.97465998686664e-17	-1.12757025938492e-16
