Food_code	DR2IGRMS
83102000	22.05
72116000	63.44
14108010	6.25
51185000	20
94000100	240
92101000	360
91301100	2.52
91707000	2
54401081	13.13
27510251	225
41201020	190.5
94000100	240
61119010	65.5
94000100	120
63101000	182
71401041	118.13
27510190	115
94000100	390
61210220	496
94000100	3480
27510261	200
21500310	120
92410710	391
71200140	6.25
57100100	24
11111000	122
24198735	64
75216102	84.5
61210220	496
27146200	90.38
22600100	30
75216323	56.33
64205010	116.25
11320100	38.13
94000100	150
94000100	150
58100010	222
11513393	155
53240000	12
63123000	35
94100100	1521.68
31105030	80
73403010	150
63123000	50
24122131	120
91705030	43
92130010	240
91101010	4.17
83203000	10
72116000	52.5
26319110	50
54403005	91
25230780	56
14109030	21
92410360	372
92101000	360
91101010	50
12120100	120
58108050	280
27510406	290
27540150	217
71401030	110
92410360	372
92114000	360
11112110	15.25
91101010	2.08
61210250	248
56203155	210
11112110	15.25
94100100	507
63107010	118
63101000	149
94100100	507
58104290	306
74402150	10.38
92410510	372
52208760	47
32130010	71.33
14104100	9.41
74402150	5.19
63129010	207
58163430	45.56
94100100	507
27146160	244
63129010	207
61119010	96
94100100	507
92101000	270
11112210	61
57240100	237.5
11112210	122
94100100	360
94100100	360
51300110	72
25230210	84
75506010	20.83
14410110	42
11112210	244
94100100	360
56205002	81.5
27411200	739.22
27416500	748.13
94100100	360
91601000	193
54403057	43
94100100	360
63107010	118
92101000	255
12120100	15
53116020	518.4
92101000	255
12120100	15
56205190	171.28
75142000	50.86
58148110	114.75
14201010	118.13
94000100	225
94000100	225
94000100	225
27411100	1478.44
94000100	225
94000100	525
92101000	585
32130100	138
11111000	533.75
25221830	140
92308000	356.5
27450060	119
51154100	104
94100100	525
22101220	136
71403020	175
75205052	138.25
92308000	3968
51101000	56
25230780	84
83107000	4.58
53103000	82.25
53347000	176.31
12220200	25
11111000	533.75
94000100	1920
11434020	150
57228000	15.25
63107010	118
63123000	80
53234250	25
51401010	25
91401000	6.67
24154020	165
56205001	81.5
75205011	97.5
63109010	55.2
94000100	720
32130070	29
11111000	5.08
71405040	30
22600200	4
25221405	20
61210220	124
52102040	16.5
91402000	20
95320200	310
13230130	56.7
57304100	32.25
11111000	91.5
58146322	265.63
53206020	40
92552030	186
63107010	59
11112110	152.5
57401100	14
11112110	45.75
51301010	14
71501040	62.5
58146223	125
11112210	152.5
92410510	184
91611000	55
92530610	209
51154100	39
25230210	84
14410110	15.75
73101010	20
94000100	150
63101000	149
11111000	106.75
55101000	50
63107010	59
64104010	155
51154100	26
25221500	42
14410110	21
11111000	106.75
24100000	50.63
58161440	71.25
75111000	21
74101000	30
11111000	106.75
54325000	6
11710638	183
67109020	141.75
63109010	28
27640050	113.4
11710638	183
27640050	113.4
54350010	1.35
11710638	183
57822000	113
63223020	85.05
25230780	42.53
11710638	183
94000100	120
57241000	37
63107010	118
11112110	122
92101000	180
42116050	30
94000100	120
53241600	60
92101000	15
32103000	111
51301010	56
83107000	4.58
75113000	16
95101010	128
11112110	122
72201224	80.5
94000100	180
53385000	76.34
58145136	230
94000100	120
53710600	24
11112110	366
27520135	291
71401030	110
24198731	80
95320200	310
24168001	210
12350230	28.35
92511015	1488
53105270	136
63135170	113.4
57123000	3.5
61210220	155
61210220	124
58101460	106
57123000	7
58404030	231
14134000	2.08
94100100	150
32400065	12
11000000	NA
11000000	NA
11000000	NA
58106234	147
64104010	186
58101320	230
24123120	67.5
63409015	79.99
58103250	168
92510955	496
54401110	14
92530610	155
92530610	108.5
54401021	22.5
94100100	480
57320500	51
11112110	366
94000100	525
27246300	85
75113000	30
14410110	17
74101000	45
74401010	7.5
94000100	525
58101460	402
94000100	315
71200100	28
94100100	480
57213000	38.06
11320000	183
53712100	43
94000100	240
51300110	72
25230210	84
75503010	28
11432000	64
94100300	180
63101000	91
67102010	56.7
67414100	56.7
27510553	100
64104010	186
63101000	91
94000100	315
22101220	67
71101000	32.5
41205010	15.81
52215200	35.5
92308000	402.5
92513000	70
71200100	32.81
58101323	78
92410310	183.89
94100100	75
57348000	52.5
11112110	106.75
