Group	macronutrient	n	mean	sd
Diabetic	Carbohydrate	63	46.2260922626749	7.60234337637937
Normal	Carbohydrate	47	49.8269368160473	8.9388296216692
Prediabetic	Carbohydrate	127	47.1151136369041	8.51683974623525
Diabetic	Protein	63	16.3461700310285	3.4212841369655
Normal	Protein	47	16.6320329861013	4.07042488189784
Prediabetic	Protein	127	16.3716660564981	3.52840851475363
Diabetic	Total Fat	63	37.4277377062965	7.21267837657981
Normal	Total Fat	47	33.5410301978514	7.65143498298182
Prediabetic	Total Fat	127	36.5132203065978	7.52369901421144
