Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
CHOLN	0.241316377706202	-0.056629756260895	0.335116674679331	-0.0265903553425158	0.0221405543346478	-0.00783189509692555	-0.13496626288499	0.0422327181195871	-0.0375070407015197	-0.145866907646989	-0.0304779886143198	-0.00629510234285346	-0.152808614671039	0.193000967231215	0.0260524298439941
TFAT	0.107040037882143	-0.32214662464828	0.0553096066531239	0.166339828406735	0.159017107851932	0.10570338708309	-0.0321839476239515	-0.159625227897042	0.0366613644276048	0.209772917678174	0.172946137293772	0.0215090415386978	-0.145058201385678	0.0710162566133606	-0.188729844942909
CARB	-0.109285901332285	-0.30120888798743	-0.239180748358597	-0.0037345940637074	-0.0423991328349333	0.0328848009891718	0.112726869962762	-0.193168380373998	0.075039889902767	-0.157200923811189	0.0866204776657002	-0.00489903451083252	0.203182306863709	-0.182517681453224	-0.00827307834527577
MOIS	-0.143007940588561	-0.153056464756431	-0.118028994499637	-0.318478333589012	0.0492130869933099	-0.277220468600659	-0.285974494370903	-0.177935252975297	-0.0500754609618541	-0.0659403829622074	-0.373233267876883	0.165465332825316	-0.223890061755563	-0.162579227863352	0.042334087220282
CAFF	0.0502637805031297	-0.288345517001275	-0.262664106032164	0.00416628059121101	0.0108475736478649	-0.131287346974141	-0.156593625264238	-0.24316050818148	0.0676002514780453	0.155929415987398	-0.107684823002814	0.192217815808677	-0.404500793088647	-0.0873027920446209	0.149665768822396
VC	-0.294348055254407	0.0819942189541994	0.131820369680945	0.0607442894186563	0.0377009506208657	-0.248079263200672	0.283309249673979	-0.0358547711164221	-0.148936618906734	0.0221951503789284	-0.0266865962168124	-0.128561849193794	-0.043845596642095	0.333167851729943	0.127042680554093
CALC	0.0650147169615346	-0.249106038216028	-0.0770311771603996	0.35048789038518	0.0458792775201294	0.0524831060904255	0.0275824150255698	-0.0132012292744195	0.389776989954116	0.0493584786669076	-0.0451195808777155	0.0866463993704681	0.0299225471139874	0.159032384900459	0.0632141260151856
FA	-0.144813794963354	-0.245058693623868	-0.1576096998657	-0.0949718919051322	-0.31258512320014	-0.130077258128085	0.136807086565814	-0.120245364997181	0.224732310754752	-0.0383492424949709	0.201166467671557	-0.0601853636673999	0.194283265071682	0.264402414271146	-0.125919026066354
MAGN	-0.213659508655306	-0.0777761953217216	0.148273279739421	0.0112143209361591	-0.144077887315553	0.566058399837493	-0.0819837669972007	-0.0187399583497735	0.341948180856994	-0.119274546438427	-0.108131724940846	0.0518169916487677	-0.119137899491684	-0.0344092959159208	0.233639806424078
PHOS	0.224558560333472	-0.214884271332472	0.208883830168544	0.0939237713370408	-0.0125446984032532	0.108463023541384	-0.182672292620527	0.0482675450482749	0.115794259356997	-0.165797132199298	-0.0571072816366287	-0.173559328249773	0.0359009982714852	0.213929490897784	0.183226570243305
POTA	-0.151417013329038	-0.128173581255678	0.250499811363983	0.0159719143865329	0.400663263013435	-0.0827523152549232	0.140133534584311	0.246438725432944	0.179104595941715	-0.101860782472895	-0.225743528479198	0.196075793662554	-0.093507288588913	0.0652860735174518	-0.146466563168654
SODI	0.162856924713938	-0.159917763928613	-0.00457610480726611	-0.367016075946885	-0.0383102622154919	0.218464868174418	0.190508626336637	0.0855337106468857	-0.133158082024229	-0.0360236588947181	-0.25498692338738	0.159510756178484	0.0113651376927613	0.172814468275135	-0.121323076305936
ZINC	0.203663580009364	-0.211468371319482	0.0511060433524577	0.257052294860042	-0.149549886348707	-0.163331149206827	-0.158149701059525	0.138244599304348	-0.148386939655228	-0.0146983913994258	0.0721753513848021	0.062008342628418	0.0333825700779439	-0.142198425864997	-0.0722795386749388
COPP	-0.256152627400236	-0.0312731538503425	0.118840620007185	-0.222803516655279	0.0781189196153135	0.308260293808701	0.126394448609104	-0.218274924318197	-0.142615614337442	-0.074201288770736	0.165142985033355	-0.318634128523418	-0.241346412055362	-0.174117130759492	0.250736026078517
