Food	Axis	correlation	pval	qval	Significance
Pinto calico or red Mexican beans dry cooked fat not added in cooking	Axis.2	-0.582329995113814	4.65852312938465e-65	2.70194341504309e-62	*
Baked beans vegetarian	Axis.3	-0.523887875946274	8.32127707344936e-51	2.41317035130031e-48	*
Rice with beans	Axis.9	-0.520521037308545	4.55951597394123e-50	8.81506421628638e-48	*
Baked beans vegetarian	Axis.2	0.506912138916108	3.64767407770288e-47	5.28912741266917e-45	*
Pinto calico or red Mexican beans dry cooked fat not added in cooking	Axis.1	0.491956104023324	4.02683542536901e-44	4.67112909342805e-42	*
Baked beans vegetarian	Axis.4	-0.47076433345793	4.64347699775573e-40	4.48869443116387e-38	*
Rice with beans	Axis.3	0.458521056531447	7.70939309237249e-38	6.38778284796578e-36	*
Rice with beans	Axis.8	0.451151881716919	1.51554305359199e-36	1.09876871385419e-34	*
Hummus plain	Axis.1	-0.418364840318003	3.68331338629787e-31	2.17507926329428e-29	*
Hummus plain	Axis.8	-0.418314592580603	3.7501366608522e-31	2.17507926329428e-29	*
Black brown or Bayo beans dry cooked fat not added in cooking	Axis.5	0.413297030176473	2.22406431545147e-30	1.17268845723805e-28	*
Baked beans vegetarian	Axis.5	0.411660600216043	3.9488308879858e-30	1.9086015958598e-28	*
Pork and beans	Axis.5	-0.401045263451354	1.51582707107782e-28	6.76292077865487e-27	*
Pork and beans	Axis.6	-0.399246267259316	2.77653863462124e-28	1.15028029148594e-26	*
Pinto calico or red Mexican beans dry cooked fat not added in cooking	Axis.3	-0.381322376476245	9.45725317905742e-26	3.65680456256887e-24	*
Black brown or Bayo beans dry cooked fat not added in cooking	Axis.4	0.37899896115145	1.96200892399866e-25	7.11228234949514e-24	*
Pinto calico or red Mexican beans dry cooked fat not added in cooking	Axis.4	-0.376270044740013	4.58879879461369e-25	1.56559017698585e-23	*
Refried beans from restaurant	Axis.7	-0.370699447112048	2.53590006306662e-24	8.171233536548e-23	*
Soft taco with beans	Axis.9	0.366823782935931	8.16945295819491e-24	2.49383300829108e-22	*
Hummus flavored	Axis.1	-0.358480477081584	9.6083028483871e-23	2.78640782603226e-21	*
Hummus flavored	Axis.8	-0.358046182013735	1.09019867057234e-22	3.01102489967598e-21	*
Pork and beans	Axis.4	0.357827082119252	1.1618488225561e-22	3.06305598673881e-21	*
Baked beans vegetarian	Axis.1	0.351036414371554	8.15289747982621e-22	1.97028355762467e-20	*
Hummus flavored	Axis.7	-0.351161270716838	7.86934820044983e-22	1.97028355762467e-20	*
Hummus flavored	Axis.10	-0.331187765423441	1.85771962581999e-19	4.30990953190238e-18	*
Refried beans from restaurant	Axis.6	0.328923456223754	3.36686015666809e-19	7.51068804179805e-18	*
Black brown or Bayo beans dry cooked fat not added in cooking	Axis.6	-0.326327168355549	6.61728339126859e-19	1.40694214397486e-17	*
Red beans and rice	Axis.10	0.326226455451466	6.7921344881545e-19	1.40694214397486e-17	*
Baked beans vegetarian	Axis.7	0.325191797955626	8.87405789519279e-19	1.77481157903856e-17	*
Rice with beans	Axis.2	0.322939149527855	1.58265358551806e-18	3.05979693200159e-17	*
Hummus plain	Axis.7	-0.320513127481836	2.9351603381541e-18	5.49159031009478e-17	*
Red kidney beans dry cooked fat not added in cooking	Axis.7	0.318887009712615	4.42660169400242e-18	8.02321557037939e-17	*
Refried beans from restaurant	Axis.5	-0.311929384631217	2.49633175066818e-17	4.38749216784104e-16	*
Red kidney beans dry cooked fat not added in cooking	Axis.6	0.308696752726256	5.49080282138914e-17	9.36666363648736e-16	*
Red beans and rice	Axis.9	0.30674820408334	8.78918765260877e-17	1.45649395386088e-15	*
Rice with beans	Axis.6	0.30401255672193	1.69129743019257e-16	2.72486808197693e-15	*
Pork and beans	Axis.7	0.296604805284381	9.61668303861112e-16	1.50748004389039e-14	*
Hummus plain	Axis.6	-0.282137344935834	2.48399579241512e-14	3.7913619989494e-13	*
Soft taco with beans	Axis.10	0.281041180045847	3.15391022224044e-14	4.69043058692168e-13	*
Beans and tomatoes fat added in cooking	Axis.8	0.278934060413622	4.97617905834453e-14	7.21545963459957e-13	*
Red beans and rice	Axis.3	0.278077471469864	5.98304772419011e-14	8.46382360982991e-13	*
Hummus plain	Axis.9	-0.269526726298157	3.63540099593879e-13	5.02031566105833e-12	*
Pinto calico or red Mexican beans canned drained fat not added in cooking	Axis.7	0.268649643736194	4.35890418498038e-13	5.87945215648517e-12	*
Pinto calico or red Mexican beans canned drained fat not added in cooking	Axis.6	0.263771162391625	1.18189869821269e-12	1.55795737491673e-11	*
Hummus plain	Axis.2	-0.262053364232774	1.67114914527735e-12	2.15392556502414e-11	*
Black brown or Bayo beans dry cooked fat not added in cooking	Axis.10	-0.260722940686992	2.18160844046286e-12	2.750723685801e-11	*
Red kidney beans dry cooked fat not added in cooking	Axis.8	-0.25972733034536	2.66059675982464e-12	3.28328961850701e-11	*
Hummus plain	Axis.10	0.254637415802532	7.24419886249758e-12	8.75340695885124e-11	*
Red kidney beans dry cooked fat not added in cooking	Axis.10	-0.246243652200197	3.60382249919564e-11	4.26574908068055e-10	*
Hummus plain	Axis.5	0.245317941249064	4.2859750957359e-11	4.97173111105364e-10	*
Beans and tomatoes fat added in cooking	Axis.7	0.241683304124448	8.40767944528997e-11	9.56167466327094e-10	*
Refried beans from restaurant	Axis.10	-0.240466797463881	1.05090424745745e-10	1.17216242985639e-09	*
Red kidney beans dry cooked fat not added in cooking	Axis.4	0.23910488009277	1.34711851357177e-10	1.47420516579552e-09	*
Pork and beans	Axis.8	-0.238392490547616	1.53303924890321e-10	1.64659771178493e-09	*
Burrito with beans meatless	Axis.9	0.235547472477607	2.55853237669733e-10	2.69808868815354e-09	*
Pinto calico or red Mexican beans dry cooked fat not added in cooking	Axis.8	-0.235425731706157	2.61484112848224e-10	2.70822831164232e-09	*
Red kidney beans dry cooked fat not added in cooking	Axis.5	-0.2339779695499	3.38436683180093e-10	3.38436683180093e-09	*
Refried beans from restaurant	Axis.4	0.234075096195753	3.32647773700766e-10	3.38436683180093e-09	*
White beans dry cooked fat not added in cooking	Axis.10	-0.224354073410935	1.80096746087121e-09	1.77044258865306e-08	*
White beans dry cooked fat not added in cooking	Axis.3	0.223382860797379	2.1231474266368e-09	2.05237584574891e-08	*
Beans and tomatoes fat not added in cooking	Axis.8	0.223187017943893	2.1945887861182e-09	2.0866581900796e-08	*
Beans and tomatoes fat added in cooking	Axis.1	-0.215982702971738	7.25902695438357e-09	6.79070263474592e-08	*
White beans dry cooked fat not added in cooking	Axis.1	0.215079512683024	8.40914010979012e-09	7.74174803758455e-08	*
White beans dry cooked fat not added in cooking	Axis.4	-0.214762122187429	8.85382614565123e-09	8.02377994449642e-08	*
Rice with beans	Axis.5	-0.213193991375267	1.14076335823637e-08	1.01791191965707e-07	*
Refried beans from restaurant	Axis.8	0.211347576491119	1.53361738523147e-08	1.34772436883978e-07	*
Pinto calico or red Mexican beans canned drained fat not added in cooking	Axis.5	-0.208474350780908	2.41771367048351e-08	2.09294616250811e-07	*
Pinto calico or red Mexican beans dry cooked fat not added in cooking	Axis.7	-0.208309578265824	2.48117203626577e-08	2.11629379563845e-07	*
Pork and beans	Axis.10	-0.206182890360742	3.45987212267101e-08	2.90829830601331e-07	*
Red beans and rice	Axis.8	0.204609113484725	4.41506349269138e-08	3.65819546537286e-07	*
Hummus flavored	Axis.6	-0.204365336934518	4.58418905647994e-08	3.74483049684277e-07	*
Refried beans fat added in cooking NS as to type of fat	Axis.7	-0.203334628590441	5.37115114179328e-08	4.32676064200014e-07	*
Beans and tomatoes fat added in cooking	Axis.6	0.202718535384593	5.90233770084173e-08	4.68952858423041e-07	*
Pinto calico or red Mexican beans canned drained fat not added in cooking	Axis.8	-0.199427506535702	9.71960852939576e-08	7.61807155006695e-07	*
Beans and tomatoes fat added in cooking	Axis.2	-0.196215773742838	1.56878573690962e-07	1.21319430321011e-06	*
Pinto calico or red Mexican beans dry cooked fat not added in cooking	Axis.9	-0.194477804236834	2.0260074634766e-07	1.54616359054793e-06	*
Beans and tomatoes fat not added in cooking	Axis.7	0.192650805451608	2.64440508701857e-07	1.99188954606593e-06	*
Refried beans from restaurant	Axis.9	0.192193964134296	2.82541840965894e-07	2.10095215077203e-06	*
Hummus flavored	Axis.2	-0.191341681129734	3.19553247263197e-07	2.34608713180575e-06	*
Baked beans vegetarian	Axis.10	-0.191116639764088	3.30079970184527e-07	2.39307978383782e-06	*
