"Sample"	"VVKAJ113"	"VVKAJ101"	"VVKAJ108"	"VVKAJ110"	"VVKAJ115"	"VVKAJ106"	"VVKAJ111"	"VVKAJ103"	"VVKAJ112"	"VVKAJ102"	"VVKAJ104"	"VVKAJ109"	"VVKAJ114"	"VVKAJ105"	"VVKAJ107"
"VVKAJ113"	0	0.894366197183099	0.796116504854369	0.923664122137405	0.911111111111111	0.883928571428571	0.859375	0.88	0.971698113207547	0.896	0.9140625	0.941176470588235	0.938053097345133	0.937007874015748	0.957264957264957
"VVKAJ101"	0.894366197183099	0	0.897260273972603	0.901234567901235	0.911242603550296	0.875	0.711267605633803	0.928057553956835	0.832	0.767605633802817	0.878980891719745	0.941558441558442	0.960264900662252	0.976190476190476	0.872340425531915
"VVKAJ108"	0.796116504854369	0.897260273972603	0	0.917910447761194	0.897810218978102	0.925	0.863636363636364	0.851485148514851	0.963302752293578	0.881889763779528	0.978571428571429	0.968253968253968	0.949152542372881	0.888	0.958677685950413
"VVKAJ110"	0.923664122137405	0.901234567901235	0.917910447761194	0	0.6875	0.964539007092199	0.901315789473684	0.936	0.951612903225806	0.94	0.954248366013072	0.957446808510638	0.978260869565217	0.861313868613139	0.963768115942029
"VVKAJ115"	0.911111111111111	0.911242603550296	0.897810218978102	0.6875	0	0.929577464788732	0.846666666666667	0.922480620155039	0.953846153846154	0.935483870967742	0.907894736842105	0.952054794520548	0.95	0.781954887218045	0.920289855072464
"VVKAJ106"	0.883928571428571	0.875	0.925	0.964539007092199	0.929577464788732	0	0.881481481481482	0.955357142857143	0.86	0.8828125	0.933333333333333	0.952	0.931623931623932	0.978102189781022	0.914529914529915
"VVKAJ111"	0.859375	0.711267605633803	0.863636363636364	0.901315789473684	0.846666666666667	0.881481481481482	0	0.878048780487805	0.884297520661157	0.776119402985075	0.935483870967742	0.929577464788732	0.949640287769784	0.933774834437086	0.935251798561151
"VVKAJ103"	0.88	0.928057553956835	0.851485148514851	0.936	0.922480620155039	0.955357142857143	0.878048780487805	0	0.969387755102041	0.934426229508197	0.952	0.936936936936937	0.962962962962963	0.914529914529915	0.954128440366973
"VVKAJ112"	0.971698113207547	0.832	0.963302752293578	0.951612903225806	0.953846153846154	0.86	0.884297520661157	0.969387755102041	0	0.950413223140496	0.933333333333333	0.935185185185185	0.941747572815534	0.966666666666667	0.89
"VVKAJ102"	0.896	0.767605633802817	0.881889763779528	0.94	0.935483870967742	0.8828125	0.776119402985075	0.934426229508197	0.950413223140496	0	0.924657534246575	0.978723404255319	0.962406015037594	0.973154362416107	0.833333333333333
"VVKAJ104"	0.9140625	0.878980891719745	0.978571428571429	0.954248366013072	0.907894736842105	0.933333333333333	0.935483870967742	0.952	0.933333333333333	0.924657534246575	0	0.849206349206349	0.879032258064516	0.973333333333333	0.872
"VVKAJ109"	0.941176470588235	0.941558441558442	0.968253968253968	0.957446808510638	0.952054794520548	0.952	0.929577464788732	0.936936936936937	0.935185185185185	0.978723404255319	0.849206349206349	0	0.833333333333333	0.978260869565217	0.992125984251969
"VVKAJ114"	0.938053097345133	0.960264900662252	0.949152542372881	0.978260869565217	0.95	0.931623931623932	0.949640287769784	0.962962962962963	0.941747572815534	0.962406015037594	0.879032258064516	0.833333333333333	0	0.992537313432836	0.983333333333333
"VVKAJ105"	0.937007874015748	0.976190476190476	0.888	0.861313868613139	0.781954887218045	0.978102189781022	0.933774834437086	0.914529914529915	0.966666666666667	0.973154362416107	0.973333333333333	0.978260869565217	0.992537313432836	0	0.954198473282443
"VVKAJ107"	0.957264957264957	0.872340425531915	0.958677685950413	0.963768115942029	0.920289855072464	0.914529914529915	0.935251798561151	0.954128440366973	0.89	0.833333333333333	0.872	0.992125984251969	0.983333333333333	0.954198473282443	0
