FoodCodes	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
41101010	BEANS, DRY, COOKED, NS AS TO TYPE, ADDED FAT	Beans_dry_cooked_NS_as_to_type_fat_added_in_cooking	Beans, dry, cooked, NS as to type, fat added in cooking	0	41101010.0
41101020	BEANS, DRY, COOKED, NS AS TO TYPE, NO FAT ADDED	Beans_dry_cooked_NS_as_to_type_fat_not_added_in_cooking	Beans, dry, cooked, NS as to type, fat not added in cooking	0	41101020.0
41101120	WHITE BEAN, DRY, COOKED, NO FAT ADDED	White_beans_dry_cooked_fat_not_added_in_cooking	White beans, dry, cooked, fat not added in cooking	0	41101120.0
41102010	BLACK, BROWN OR BAYO BEAN, DRY, COOKED, FAT ADDED	Black_brown_or_Bayo_beans_dry_cooked_fat_added_in_cooking	Black, brown, or Bayo beans, dry, cooked, fat added in cooking	0	41102010.0
41102020	BLACK, BROWN OR BAYO BEAN, DRY, COOKED, NO FAT	Black_brown_or_Bayo_beans_dry_cooked_fat_not_added_in_cooking	Black, brown, or Bayo beans, dry, cooked, fat not added in cooking	0	41102020.0
41102210	FAVA BEANS, COOKED, FAT ADDED	Fava_beans_cooked_fat_added_in_cooking	Fava beans, cooked, fat added in cooking	0	41102210.0
41103070	PINK BEANS, DRY, COOKED, FAT ADDED	Pink_beans_dry_cooked_fat_added_in_cooking	Pink beans, dry, cooked, fat added in cooking	0	41103070.0
41104010	PINTO, CALICO/RED/MEX BEAN, DRY, COOKED, FAT ADDED	Pinto_calico_or_red_Mexican_beans_dry_cooked_fat_added_in_cooking	Pinto, calico, or red Mexican beans, dry, cooked, fat added in cooking	0	41104010.0
41104020	PINTO, CALICO/RED/MEX BEAN, DRY, COOKED, NO FAT	Pinto_calico_or_red_Mexican_beans_dry_cooked_fat_not_added_in_cooking	Pinto, calico, or red Mexican beans, dry, cooked, fat not added in cooking	0	41104020.0
41106020	RED KIDNEY BEANS, DRY, COOKED, NO FAT ADDED	Red_kidney_beans_dry_cooked_fat_not_added_in_cooking	Red kidney beans, dry, cooked, fat not added in cooking	0	41106020.0
41201010	BAKED BEANS, NFS	Baked_beans_NFS	Baked beans, NFS	0	41201010.0
41201020	BAKED BEANS, VEGETARIAN	Baked_beans_vegetarian	Baked beans, vegetarian	0	41201020.0
41202505	BEANS AND TOMATOES, FAT NOT ADDED	Beans_and_tomatoes_fat_not_added_in_cooking	Beans and tomatoes, fat not added in cooking	0	41202505.0
41202510	BEANS AND TOMATOES, FAT ADDED	Beans_and_tomatoes_fat_added_in_cooking	Beans and tomatoes, fat added in cooking	0	41202510.0
41205010	REFRIED BEANS	Refried_beans	Refried beans	0	41205010.0
41205050	BEAN DIP, W/ REFRIED BEANS	Bean_dip_made_with_refried_beans	Bean dip, made with refried beans	0	41205050.0
41205070	HUMMUS	Hummus	Hummus	0	41205070.0
41208030	PORK  BEANS	Pork_and_beans	Pork and beans	0	41208030.0
41208100	BEANS, DRY, COOKED, W/ PORK	Beans_dry_cooked_with_pork	Beans, dry, cooked with pork	0	41208100.0
41209000	FALAFIL (FAVA BEAN PATTY)	Falafil	Falafil	0	41209000.0
41302020	CHICKPEAS, DRY, COOKED, NO FAT ADDED	Chickpeas_dry_cooked_fat_not_added_in_cooking	Chickpeas, dry, cooked, fat not added in cooking	0	41302020.0
41305000	LENTILS, DRY, COOKED, NO FAT ADDED	Lentils_dry_cooked_fat_not_added_in_cooking	Lentils, dry, cooked, fat not added in cooking	0	41305000.0
41311000	PAPAD(INDIAN APPETIZER),GRILLED OR BROILED	Papad_Indian_appetizer_grilled_or_broiled	Papad (Indian appetizer), grilled or broiled	0	41311000.0
41420110	MISO (FERMENTED SOYBEAN PASTE)	Miso_fermented_soybean_paste_	Miso (fermented soybean paste)	0	41420110.0
55702000	CAKE OR PANCAKE MADE W/ RICE FLOUR /OR DRIED BEANS	Cake_or_pancake_made_with_rice_flour_and_or_dried_beans	Cake or pancake made with rice flour and/or dried beans	0	55702000.0
56116990	LONG RICE NOODLES(FROM MUNG BEANS),CKD,NS FAT ADDed	Long_rice_noodles_made_from_mung_beans_cooked_NS_as_to_fat_added_in_cooking	Long rice noodles (made from mung beans) cooked, NS as to fat added in cooking	0	56116990.0
58100320	BURRITO W/ BEANS  CHEESE, MEATLESS	Burrito_with_beans_and_cheese_meatless	Burrito with beans and cheese, meatless	0	58100320.0
58101610	SOFT TACO WITH BEAN, CHEESE, LETTUCE, TOMATO /OR SALSA	Soft_taco_with_bean_cheese_lettuce_and_tomato_and_or_salsa	Soft taco with bean, cheese, lettuce, and tomato and/or salsa	0	58101610.0
58101615	SOFT TACO W/BEAN, CHSE, LETTUCE, TOM /OR SALSA, SOUR CREAM	Soft_taco_with_bean_cheese_lettuce_tomato_and_or_salsa_and_sour_cream	Soft taco with bean, cheese, lettuce, tomato and/or salsa, and sour cream	0	58101615.0
58101720	TACO / TOSTADA W/ BEANS,CHEESE,LETTUCE,TOM,SALSA	Taco_or_tostada_with_beans_and_cheese_meatless_with_lettuce_tomato_and_salsa	Taco or tostada with beans and cheese, meatless, with lettuce, tomato and salsa	0	58101720.0
58104520	CHIMICHANGA W/ BEANS CHEESE, NO MEAT,LETTUCETOM	Chimichanga_with_beans_and_cheese_meatless_with_lettuce_and_tomato	Chimichanga with beans and cheese, meatless, with lettuce and tomato	0	58104520.0
58160110	RICE W/ BEANS	Rice_with_beans	Rice with beans	0	58160110.0
58160150	RED BEANS  RICE	Red_beans_and_rice	Red beans and rice	0	58160150.0
58161320	RICE, BROWN, W/ BEANS	Rice_brown_with_beans	Rice, brown, with beans	0	58161320.0
75440400	VEGETABLE,IN CHICK-PEA FLOUR BATTER,(PAKORA),FRIED	Vegetables_dipped_in_chick_pea_flour_batter_pakora_fried	Vegetables, dipped in chick-pea flour batter, (pakora), fried	0	75440400.0
91407150	BEAN PASTE, SWEETENED (INCL JAPANESE RED BEANS)	Bean_paste_sweetened	Bean paste, sweetened	0	91407150.0
91703500	NUTS, CAROB-COATED	Nuts_carob_coated	Nuts, carob-coated	0	91703500.0
91718300	LADOO, ROUND BALL, ASIAN-INDIAN DESSERT	Ladoo_round_ball_Asian_Indian_dessert	Ladoo, round ball, Asian-Indian dessert	0	91718300.0
41102110	BLACK, BROWN, OR BAYO BEANS, CANNED, LOW SODIUM, FAT ADDED	Black_brown_or_Bayo_beans_canned_low_sodium_fat_added_in_cooking	Black, brown, or Bayo beans, canned, low sodium, fat added in cooking	0	41102110.0
41205040	REFRIED BEANS, CANNED, LOW SODIUM	Refried_beans_canned_low_sodium	Refried beans, canned, low sodium	0	41205040.0
41302110	CHICKPEAS, CANNED, LOW SODIUM, FAT ADDED IN COOKING	Chickpeas_canned_low_sodium_fat_added_in_cooking	Chickpeas, canned, low sodium, fat added in cooking	0	41302110.0
58101725	TACO OR TOSTADA W/ BEANS  SOUR CREAM	Taco_or_tostada_with_beans_and_sour_cream	Taco or tostada with beans and sour cream	0	58101725.0
58160800	RICE, WHITE, WITH LENTILS, NS AS TO FAT ADDED IN COOKING	Rice_white_with_lentils_NS_as_to_fat_added_in_cooking	Rice, white, with lentils, NS as to fat added in cooking	0	58160800.0
58160805	RICE, WHITE, WITH LENTILS, FAT ADDED IN COOKING	Rice_white_with_lentils_fat_added_in_cooking	Rice, white, with lentils, fat added in cooking	0	58160805.0
58160810	RICE, WHITE, WITH LENTILS, FAT NOT ADDED IN COOKING	Rice_white_with_lentils_fat_not_added_in_cooking	Rice, white, with lentils, fat not added in cooking	0	58160810.0
