"Sample"	"vvkaj.00037"	"vvkaj.00002"	"vvkaj.00023"	"vvkaj.00029"	"vvkaj.00044"	"vvkaj.00045"	"vvkaj.00022"	"vvkaj.00024"	"vvkaj.00003"	"vvkaj.00016"	"vvkaj.00032"	"vvkaj.00038"	"vvkaj.00039"	"vvkaj.00007"	"vvkaj.00034"	"vvkaj.00004"	"vvkaj.00005"	"vvkaj.00011"	"vvkaj.00030"	"vvkaj.00010"	"vvkaj.00018"	"vvkaj.00033"	"vvkaj.00009"	"vvkaj.00026"	"vvkaj.00008"	"vvkaj.00031"	"vvkaj.00012"	"vvkaj.00027"	"vvkaj.00042"	"vvkaj.00025"	"vvkaj.00041"	"vvkaj.00006"	"vvkaj.00015"	"vvkaj.00013"	"vvkaj.00043"	"vvkaj.00028"	"vvkaj.00040"	"vvkaj.00014"	"vvkaj.00001"	"vvkaj.00021"	"vvkaj.00036"	"vvkaj.00019"	"vvkaj.00020"	"vvkaj.00035"	"vvkaj.00017"
"vvkaj.00037"	0	0.396274311747715	0.441448759644374	0.476871040822111	0.479690185866813	0.493209922555782	0.428833793889995	0.323263036937685	0.506512787709735	0.386282411532182	0.472612013740186	0.501759604410382	0.417875586576847	0.444095700574227	0.4415874180173	0.439841695128865	0.449562092596593	0.447782413134645	0.539237945659035	0.425928363346131	0.484236557672654	0.42990998074069	0.528754298025932	0.468277950143796	0.513617803192599	0.446527417811865	0.408515098020111	0.444114924979155	0.471408500320195	0.488863361710483	0.444765540369881	0.474324259029609	0.468366013658295	0.531965186736674	0.545589016180638	0.558291933342498	0.458915138368394	0.567911799217364	0.479906386356237	0.474933446760453	0.435938688624157	0.462297325440802	0.455478972044061	0.423635637462641	0.442443263520815
"vvkaj.00002"	0.396274311747715	0	0.331045537972008	0.304685270864824	0.324464445648084	0.335407328752815	0.348100795068754	0.342242420419452	0.352230206974242	0.281716389256603	0.319001355875133	0.413005710645193	0.325420135137909	0.298799675265036	0.321003875848998	0.288171014135936	0.324506945420741	0.349862616528026	0.414125315061862	0.321064956584442	0.335478736981242	0.294625573834517	0.435064918115358	0.340985183341547	0.40367018540788	0.275730265764176	0.263016844480775	0.320080804758154	0.389342350090141	0.390943565103864	0.351790443306191	0.287101414611314	0.378974194901192	0.43287537667022	0.435620391967646	0.453951086095902	0.323916197465368	0.468484835266035	0.34596693020047	0.318397980140689	0.334844154462509	0.312658167937714	0.315816415197421	0.26676192650082	0.324961157685799
"vvkaj.00023"	0.441448759644374	0.331045537972008	0	0.414194268347848	0.395355800548058	0.42657615655681	0.383661632071417	0.356730803490509	0.475230382756797	0.382925363208512	0.441558992483351	0.472971108185053	0.447455578128332	0.412544568750317	0.407713882838035	0.371708757153388	0.401252672267397	0.41390887795538	0.495534530563328	0.407490129935351	0.44990497792068	0.393632600115822	0.499111179542712	0.439501315262926	0.367552377108807	0.404734529636068	0.39000884078368	0.405257827819278	0.453388611517495	0.454989826531218	0.472989521289972	0.448785485403113	0.403458336250173	0.498091651557409	0.480010307721614	0.488820708560019	0.368977937012962	0.528979310327706	0.446032851176973	0.444144590422054	0.402065153444892	0.428423790261537	0.421605436864796	0.389762102283376	0.469631994992158
"vvkaj.00029"	0.476871040822111	0.304685270864824	0.414194268347848	0	0.262693326367987	0.302370943984903	0.481848535325149	0.428719524315392	0.48328803177199	0.415131216178538	0.411309506868779	0.453089628807951	0.488532925370267	0.43493708015083	0.415771531853228	0.424308419021729	0.43326464399862	0.416064224246188	0.350034676023438	0.410360969610184	0.459302008320257	0.427405453245447	0.426120604864807	0.447558964278118	0.469612720059381	0.380123613145453	0.398066489798873	0.428390345308772	0.461446260532688	0.463047475546411	0.481047170305164	0.44896675763609	0.383554928830778	0.418094460033753	0.370721404400362	0.404449284311262	0.433099252204321	0.380706120764126	0.418086453573417	0.403009319347232	0.410122802460084	0.424824391396069	0.418006037999328	0.397819751298568	0.477689644007351
"vvkaj.00044"	0.479690185866813	0.324464445648084	0.395355800548058	0.262693326367987	0	0.267728309436479	0.474066516711288	0.433018601819789	0.494727388811285	0.417292247686892	0.450743651443617	0.456281045322747	0.480395015539275	0.446376437190126	0.427210888892523	0.435747776061025	0.441456587102086	0.433405884009868	0.352458377636515	0.42180032664948	0.469401983975168	0.411102616947226	0.437559961904102	0.458998321317414	0.425139167184481	0.43207298211367	0.409505846838168	0.439829702348068	0.458968129275571	0.474486832585706	0.49248652734446	0.468282491457601	0.343541102349038	0.408437737939717	0.367361029771761	0.355151903349373	0.439899446478146	0.375830281357634	0.46552985723146	0.460394182540712	0.42156215949938	0.42337999535246	0.41747720014455	0.409259108337864	0.489129001046646
"vvkaj.00045"	0.493209922555782	0.335407328752815	0.42657615655681	0.302370943984903	0.267728309436479	0	0.502153432711362	0.449024421701605	0.511515938335452	0.442239649552914	0.484542471705677	0.513337527651202	0.51676083193373	0.463164986714293	0.435500533831059	0.408047775288297	0.461492550562083	0.424907509733471	0.362535849001465	0.429806185675058	0.471064651977224	0.45563335980891	0.446290432205092	0.472584363672709	0.522463582317224	0.433267218017238	0.411997330351082	0.452368960087533	0.453249898551272	0.491275382109874	0.509275076868627	0.479369642238609	0.393291378623215	0.365973792615824	0.365786301076913	0.335581115707744	0.440933481088183	0.413383671964565	0.482318406755628	0.441377747614216	0.438350709023547	0.436781011001288	0.421221137093711	0.426047657862031	0.505917550570813
"vvkaj.00022"	0.428833793889995	0.348100795068754	0.383661632071417	0.481848535325149	0.474066516711288	0.502153432711362	0	0.359146221311521	0.455502199254624	0.378258461811093	0.429373339550024	0.506688045171473	0.41494189038181	0.401225764734298	0.446564912520338	0.393432474861621	0.40576885677408	0.452759907637684	0.521852107975428	0.450735936111879	0.429147284127292	0.389409520093934	0.536544523596803	0.478352344945229	0.514396414209283	0.467266777005114	0.396588586786033	0.423818841535406	0.487986584315163	0.493840856213522	0.484241654928117	0.387291897205829	0.451282670782144	0.536942681239713	0.518617158504642	0.563269427845536	0.426813488575026	0.418091494115264	0.428008120826848	0.432185583105779	0.440307021333823	0.408695606759364	0.418713706307078	0.377576449350049	0.380536896728334
"vvkaj.00024"	0.323263036937685	0.342242420419452	0.356730803490509	0.428719524315392	0.433018601819789	0.449024421701605	0.359146221311521	0	0.460952401429344	0.328568864660009	0.421807653957476	0.415077592301704	0.449970305966785	0.398266587422863	0.393435901510582	0.370540080196718	0.381501333741522	0.399630896627927	0.47588766855107	0.397606925102122	0.436966377977611	0.390729627042936	0.401758768929833	0.422220806558052	0.44046733692875	0.385578427960179	0.375730859456227	0.390979846491825	0.43467721085932	0.440711845203765	0.458711539962518	0.434507504075659	0.430616819011117	0.482812327349586	0.497437499673919	0.510140416835779	0.410763621861676	0.514120740736402	0.431754869849519	0.424393251896179	0.387787172117438	0.414145808934083	0.407327455537342	0.375484120955922	0.403748074365299
"vvkaj.00003"	0.506512787709735	0.352230206974242	0.475230382756797	0.48328803177199	0.494727388811285	0.511515938335452	0.455502199254624	0.460952401429344	0	0.336129509531372	0.368774604059493	0.464652117867739	0.411686100877982	0.370033827178022	0.320766883038094	0.371348737568398	0.433023104047242	0.391438329508659	0.523582610168608	0.423372195263721	0.390895919935089	0.368718294512083	0.510598468376857	0.450988604097071	0.497665315572714	0.436487808925277	0.369224845937875	0.401771421793043	0.464875900351641	0.466477115365364	0.456877914079959	0.404542657337467	0.456382089172716	0.473356633324289	0.523202769835518	0.535905686997379	0.399449747726867	0.542506621544976	0.421927598262676	0.382501069254008	0.413552442279037	0.363942132381633	0.358303613602237	0.311574706594236	0.426922005734048
"vvkaj.00016"	0.386282411532182	0.281716389256603	0.382925363208512	0.415131216178538	0.417292247686892	0.442239649552914	0.378258461811093	0.328568864660009	0.336129509531372	0	0.263503192318577	0.347655172585968	0.288896732390111	0.26997409830337	0.349899574933948	0.276488819497253	0.356560306866107	0.357239351196075	0.455425794575157	0.35521537967027	0.291674726405421	0.265708580501252	0.442441652783406	0.38283178850362	0.409441159911923	0.365775716274449	0.301068030344424	0.303464869250988	0.381365549404654	0.398320299771913	0.388721098486508	0.343464022702189	0.388225273579265	0.441422124798103	0.455045954242067	0.467748871403927	0.323616164456649	0.479959867505121	0.357441962439556	0.33666502666417	0.344250845540805	0.304558730940845	0.296526483198803	0.250055680488856	0.314320745696152
